trial_nr	onset	event_type	phase	response	nr_frames	trial_type	stim_name	task_probe	onset_abs	duration
331.0	165.99643452222836	pulse	1.0	t		face	adult-7.jpg	0.0	240.17343368911634	
332.0	166.02964671222617	adult	0.0		45.0	face	adult-95.jpg	0.0	240.20664587911415	0.37495804254922405
332.0	166.4046047547754	ISI	1.0		7.0	face	adult-95.jpg	0.0	240.58160392166337	0.11669121730938059
333.0	166.52129597208477	adult	0.0		46.0	face	adult-82.jpg	0.0	240.69829513897275	0.3832852382220153
333.0	166.9045812103068	ISI	1.0		7.0	face	adult-82.jpg	0.0	241.08158037719477	0.1167011784305032
334.0	167.0212823887373	adult	0.0		46.0	face	adult-139.jpg	0.0	241.19828155562527	0.3832843326654256
334.0	167.40456672140272	ISI	1.0		7.0	face	adult-139.jpg	0.0	241.5815658882907	0.11670208398709292
335.0	167.5212688053898	adult	0.0		46.0	face	adult-3.jpg	0.0	241.6982679722778	0.38325837337924895
335.0	167.90452717876906	ISI	1.0		7.0	face	adult-3.jpg	0.0	242.08152634565704	0.11669333027475659
335.0	167.99629355726756	pulse	1.0	t		face	adult-3.jpg	0.0	242.17329272415554	
336.0	168.02122050904381	body	0.0		46.0	body	body-9.jpg	0.0	242.1982196759318	0.3832852382215606
336.0	168.40450574726538	ISI	1.0		7.0	body	body-9.jpg	0.0	242.58150491415336	0.11669997102217167
337.0	168.52120571828755	body	0.0		46.0	body	body-22.jpg	0.0	242.69820488517553	0.38328704933474
337.0	168.9044927676223	ISI	1.0		7.0	body	body-22.jpg	0.0	243.08149193451027	0.1166969525006607
338.0	169.02118972012295	body	0.0		46.0	body	body-118.jpg	0.0	243.19818888701093	0.3832858419259537
338.0	169.4044755620489	ISI	1.0		7.0	body	body-118.jpg	0.0	243.58147472893688	0.11669936731777852
339.0	169.52117492936668	body	0.0		46.0	body	body-118.jpg	1.0	243.69817409625466	0.3832858419259537
339.0	169.90446077129263	ISI	1.0		7.0	body	body-118.jpg	1.0	244.08145993818061	0.11668638767514494
339.0	169.9962343942434	pulse	1.0	t		body	body-118.jpg	1.0	244.17323356113138	
340.0	170.02114715896778	body	0.0		46.0	body	body-88.jpg	0.0	244.19814632585576	0.38329882156904205
340.0	170.07956672140244	response	0.0	b		body	body-88.jpg	0.0	244.25656588829042	
340.0	170.40444598053682	ISI	1.0		7.0	body	body-88.jpg	0.0	244.5814451474248	0.11670178213489635
341.0	170.52114776267172	body	0.0		46.0	body	body-12.jpg	0.0	244.6981469295597	0.3832909734128407
341.0	170.90443873608456	ISI	1.0		7.0	body	body-12.jpg	0.0	245.08143790297254	0.11669272657036345
342.0	171.02113146265492	body	0.0		46.0	body	body-123.jpg	0.0	245.1981306295429	0.38329248267382354
342.0	171.40442394532874	ISI	1.0		7.0	body	body-123.jpg	0.0	245.58142311221673	0.1166900099005943
343.0	171.52111395522934	body	0.0		46.0	body	body-66.jpg	0.0	245.69811312211732	0.3832882567435263
343.0	171.90440221197287	ISI	1.0		7.0	body	body-66.jpg	0.0	246.08140137886085	0.11669876361338538
343.0	171.99617674047977	pulse	1.0	t		body	body-66.jpg	0.0	246.17317590736775	
344.0	172.02110097558625	body	0.0		46.0	body	body-95.jpg	0.0	246.19810014247423	0.38329369008260983
344.0	172.40439466566886	ISI	1.0		7.0	body	body-95.jpg	0.0	246.58139383255684	0.11667129506622587
345.0	172.5210659607351	body	0.0		46.0	body	body-64.jpg	0.0	246.69806512762307	0.38330576416910844
345.0	172.9043717249042	ISI	1.0		7.0	body	body-64.jpg	0.0	247.08137089179218	0.11669906546558195
346.0	173.02107079036978	body	0.0		46.0	body	body-39.jpg	0.0	247.19806995725776	0.38327829562194893
346.0	173.40434908599173	ISI	1.0		7.0	body	body-39.jpg	0.0	247.5813482528797	0.11671747844775382
347.0	173.52106656443948	body	0.0		46.0	body	body-101.jpg	0.0	247.69806573132746	0.38330274564714273
347.0	173.90436931008662	ISI	1.0		7.0	body	body-101.jpg	0.0	248.0813684769746	0.1250202240953513
347.0	173.99618338122718	pulse	1.0	t		body	body-101.jpg	0.0	248.17318254811516	
348.0	174.02938953418197	adult	0.0		45.0	face	adult-68.jpg	0.0	248.20638870106995	0.37497011663572266
348.0	174.4043596508177	ISI	1.0		7.0	face	adult-68.jpg	0.0	248.58135881770568	0.11670057472656481
349.0	174.52106022554426	adult	0.0		46.0	face	adult-96.jpg	0.0	248.69805939243224	0.3832837289605777
349.0	174.90434395450484	ISI	1.0		7.0	face	adult-96.jpg	0.0	249.08134312139282	0.11669846176164356
350.0	175.02104241626648	adult	0.0		46.0	face	adult-13.jpg	0.0	249.19804158315446	0.3832955011953345
350.0	175.40433791746182	ISI	1.0		7.0	face	adult-13.jpg	0.0	249.5813370843498	0.11669182101377373
351.0	175.5210297384756	adult	0.0		46.0	face	adult-91.jpg	0.0	249.69802890536357	0.3832936900821551
351.0	175.90432342855775	ISI	1.0		7.0	face	adult-91.jpg	0.0	250.08132259544573	0.12502897780768762
351.0	175.99614474415012	pulse	1.0	t		face	adult-91.jpg	0.0	250.1731439110381	
