trial_nr	onset	event_type	phase	response	nr_frames	face_age	face_sex	face_eth	attractiveness	expression	face_id	sub_id	ses	run	trial_type	catch	onset_abs	duration
7.0	45.00898734635757	face	0.0		147	31.0	male	west_asian	1.9538400318344609	smiling	070	sub-01	1.0	2.0	070_smiling	0.0	105.31575879597267	1.2416039820336664
7.0	46.00071237110933	pulse	0.0	t		31.0	male	west_asian	1.9538400318344609	smiling	070	sub-01	1.0	2.0	070_smiling	0.0	106.30748382072443	
7.0	46.25059132839124	fix	1.0		449	31.0	male	west_asian	1.9538400318344609	smiling	070	sub-01	1.0	2.0	070_smiling	0.0	106.55736277800634	3.766521274540537
7.0	48.00064173770261	pulse	1.0	t		31.0	male	west_asian	1.9538400318344609	smiling	070	sub-01	1.0	2.0	070_smiling	0.0	108.3074131873177	
8.0	50.017112602931775	face	0.0		147	35.0	female	white	2.1440509351372863	neutral	020	sub-01	1.0	2.0	020_neutral	0.0	110.32388405254687	1.2333139141774154
8.0	50.00355008331144	pulse	0.0	t		35.0	female	white	2.1440509351372863	neutral	020	sub-01	1.0	2.0	020_neutral	0.0	110.31032153292654	
8.0	51.25042651710919	fix	1.0		447	35.0	female	white	2.1440509351372863	neutral	020	sub-01	1.0	2.0	020_neutral	0.0	111.55719796672429	3.758201927023947
8.0	52.00055148390538	pulse	1.0	t		35.0	female	white	2.1440509351372863	neutral	020	sub-01	1.0	2.0	020_neutral	0.0	112.30732293352048	
8.0	54.00047451160344	pulse	1.0	t		35.0	female	white	2.1440509351372863	neutral	020	sub-01	1.0	2.0	020_neutral	0.0	114.30724596121854	
9.0	55.00862844413314	face	0.0		147	30.0	male	white	2.7190608834062875	neutral	004	sub-01	1.0	2.0	004_neutral	0.0	115.31539989374824	1.241651070971784
9.0	56.000415046727085	pulse	0.0	t		30.0	male	white	2.7190608834062875	neutral	004	sub-01	1.0	2.0	004_neutral	0.0	116.30718649634218	
9.0	56.25027951510492	fix	1.0		448	30.0	male	white	2.7190608834062875	neutral	004	sub-01	1.0	2.0	004_neutral	0.0	116.55705096472002	3.7665541764263253
9.0	58.000347431841874	pulse	1.0	t		30.0	male	white	2.7190608834062875	neutral	004	sub-01	1.0	2.0	004_neutral	0.0	118.30711888145697	
10.0	60.01683369153125	face	0.0		147	48.0	male	white	1.8929566255471548	smiling	021	sub-01	1.0	2.0	021_smiling	0.0	120.32360514114634	1.2333021419431134
10.0	60.002956038250886	pulse	0.0	t		48.0	male	white	1.8929566255471548	smiling	021	sub-01	1.0	2.0	021_smiling	0.0	120.30972748786598	
10.0	61.25013583347436	fix	1.0		447	48.0	male	white	1.8929566255471548	smiling	021	sub-01	1.0	2.0	021_smiling	0.0	121.55690728308946	3.7583437975417837
10.0	62.0004213856223	pulse	1.0	t		48.0	male	white	1.8929566255471548	smiling	021	sub-01	1.0	2.0	021_smiling	0.0	122.3071928352374	
10.0	64.00017869648173	pulse	1.0	t		48.0	male	white	1.8929566255471548	smiling	021	sub-01	1.0	2.0	021_smiling	0.0	124.30695014609682	
11.0	65.00847963101614	face	0.0		147	26.0	male	west_asian	2.2081177875049742	smiling	142	sub-01	1.0	2.0	142_smiling	0.0	125.31525108063124	1.2415194634277213
11.0	66.00010655381448	pulse	0.0	t		26.0	male	west_asian	2.2081177875049742	smiling	142	sub-01	1.0	2.0	142_smiling	0.0	126.30687800342957	
11.0	66.24999909444387	fix	1.0		449	26.0	male	west_asian	2.2081177875049742	smiling	142	sub-01	1.0	2.0	142_smiling	0.0	126.55677054405896	3.766526406026969
11.0	68.00004708893766	pulse	1.0	t		26.0	male	west_asian	2.2081177875049742	smiling	142	sub-01	1.0	2.0	142_smiling	0.0	128.30681853855276	
12.0	70.01652550047083	face	0.0		147	30.0	male	white	2.7190608834062875	smiling	004	sub-01	1.0	2.0	004_smiling	1.0	130.32329695008593	1.2333232715945996
12.0	70.00263939532988	pulse	0.0	t		30.0	male	white	2.7190608834062875	smiling	004	sub-01	1.0	2.0	004_smiling	1.0	130.30941084494498	
12.0	71.24984877206543	fix	1.0		238	30.0	male	white	2.7190608834062875	smiling	004	sub-01	1.0	2.0	004_smiling	1.0	131.55662022168053	1.9999420443846248
12.0	71.99993872401046	pulse	1.0	t		30.0	male	white	2.7190608834062875	smiling	004	sub-01	1.0	2.0	004_smiling	1.0	132.30671017362556	
12.0	73.24979081645006	rating	2.0		238	30.0	male	white	2.7190608834062875	smiling	004	sub-01	1.0	2.0	004_smiling	1.0	133.55656226606516	1.9999076332373988
12.0	73.99987895728191	pulse	2.0	t		30.0	male	white	2.7190608834062875	smiling	004	sub-01	1.0	2.0	004_smiling	1.0	134.306650406897	
12.0	75.24969844968746	fix	3.0		447	30.0	male	white	2.7190608834062875	smiling	004	sub-01	1.0	2.0	004_smiling	1.0	135.55646989930256	3.75835919200199
12.0	75.99983277390083	pulse	3.0	t		30.0	male	white	2.7190608834062875	smiling	004	sub-01	1.0	2.0	004_smiling	1.0	136.30660422351593	
12.0	77.99975338678132	pulse	3.0	t		30.0	male	white	2.7190608834062875	smiling	004	sub-01	1.0	2.0	004_smiling	1.0	138.30652483639642	
13.0	79.00805764168945	face	0.0		147	25.0	male	white	2.263430163151612	smiling	132	sub-01	1.0	2.0	132_smiling	1.0	139.31482909130455	1.2415134263842447
13.0	79.99969543116595	pulse	0.0	t		25.0	male	white	2.263430163151612	smiling	132	sub-01	1.0	2.0	132_smiling	1.0	140.30646688078104	
13.0	80.24957106807369	fix	1.0		239	25.0	male	white	2.263430163151612	smiling	132	sub-01	1.0	2.0	132_smiling	1.0	140.5563425176888	1.9999420443846248
13.0	81.99963324961982	pulse	1.0	t		25.0	male	white	2.263430163151612	smiling	132	sub-01	1.0	2.0	132_smiling	1.0	142.30640469923492	
13.0	82.24951311245832	rating	2.0		239	25.0	male	white	2.263430163151612	smiling	132	sub-01	1.0	2.0	132_smiling	1.0	142.55628456207342	1.9999351017845584
13.0	83.99957559585619	pulse	2.0	t		25.0	male	white	2.263430163151612	smiling	132	sub-01	1.0	2.0	132_smiling	1.0	144.30634704547128	
13.0	84.24944821424288	fix	3.0		449	25.0	male	white	2.263430163151612	smiling	132	sub-01	1.0	2.0	132_smiling	1.0	144.55621966385797	3.766555081982915
13.0	85.99952760136193	pulse	3.0	t		25.0	male	white	2.263430163151612	smiling	132	sub-01	1.0	2.0	132_smiling	1.0	146.30629905097703	
14.0	88.01600329622579	face	0.0		147	40.0	male	black	2.408674890569041	neutral	061	sub-01	1.0	2.0	061_neutral	0.0	148.3227747458409	1.2333048586124278
14.0	88.00222766897696	pulse	0.0	t		40.0	male	black	2.408674890569041	neutral	061	sub-01	1.0	2.0	061_neutral	0.0	148.30899911859206	
14.0	89.24930815483822	fix	1.0		447	40.0	male	black	2.408674890569041	neutral	061	sub-01	1.0	2.0	061_neutral	0.0	149.55607960445332	3.7665511579048143
14.0	89.99940293641794	pulse	1.0	t		40.0	male	black	2.408674890569041	neutral	061	sub-01	1.0	2.0	061_neutral	0.0	150.30617438603304	
14.0	91.99934045302007	pulse	1.0	t		40.0	male	black	2.408674890569041	neutral	061	sub-01	1.0	2.0	061_neutral	0.0	152.30611190263517	
15.0	93.01585931274303	face	0.0		146	21.0	female	white	4.060485475527258	neutral	134	sub-01	1.0	2.0	134_neutral	0.0	153.32263076235813	1.2332948974913052
15.0	93.99928249740424	pulse	0.0	t		21.0	female	white	4.060485475527258	neutral	134	sub-01	1.0	2.0	134_neutral	0.0	154.30605394701934	
15.0	94.24915421023434	fix	1.0		450	21.0	female	white	4.060485475527258	neutral	134	sub-01	1.0	2.0	134_neutral	0.0	154.55592565984944	3.774890427664104
15.0	95.9992209195625	pulse	1.0	t		21.0	female	white	4.060485475527258	neutral	134	sub-01	1.0	2.0	134_neutral	0.0	156.3059923691776	
15.0	97.99916266209493	pulse	1.0	t		21.0	female	white	4.060485475527258	neutral	134	sub-01	1.0	2.0	134_neutral	0.0	158.30593411171003	
16.0	98.02404463789844	face	0.0		147	25.0	female	west_asian	2.6756864305610826	smiling	064	sub-01	1.0	2.0	064_smiling	0.0	158.33081608751354	1.2333012363865237
16.0	99.25734587428497	fix	1.0		447	25.0	female	west_asian	2.6756864305610826	smiling	064	sub-01	1.0	2.0	064_smiling	0.0	159.56411732390006	3.766552365313146
16.0	99.9991128564875	pulse	1.0	t		25.0	female	west_asian	2.6756864305610826	smiling	064	sub-01	1.0	2.0	064_smiling	0.0	160.3058843061026	
16.0	101.99904463789835	pulse	1.0	t		25.0	female	west_asian	2.6756864305610826	smiling	064	sub-01	1.0	2.0	064_smiling	0.0	162.30581608751345	
17.0	103.02389823959811	face	0.0		146	23.0	female	white	3.7552725825706332	smiling	122	sub-01	1.0	2.0	122_smiling	0.0	163.3306696892132	1.233311197508101
17.0	103.99898517302199	pulse	0.0	t		23.0	female	white	3.7552725825706332	smiling	122	sub-01	1.0	2.0	122_smiling	0.0	164.3057566226371	
17.0	104.25720943710621	fix	1.0		449	23.0	female	white	3.7552725825706332	smiling	122	sub-01	1.0	2.0	122_smiling	0.0	164.5639808867213	3.7665414986354335
17.0	105.99893929149266	pulse	1.0	t		23.0	female	white	3.7552725825706332	smiling	122	sub-01	1.0	2.0	122_smiling	0.0	166.30571074110776	
17.0	107.9988683562342	pulse	1.0	t		23.0	female	white	3.7552725825706332	smiling	122	sub-01	1.0	2.0	122_smiling	0.0	168.3056398058493	
18.0	108.02375093574165	face	0.0		147	54.0	female	white	2.286908077994429	smiling	136	sub-01	1.0	2.0	136_smiling	0.0	168.33052238535674	1.2333084808387866
18.0	109.25705941658043	fix	1.0		447	54.0	female	white	2.286908077994429	smiling	136	sub-01	1.0	2.0	136_smiling	0.0	169.56383086619553	3.758302443794946
