trial_nr	onset	event_type	phase	response	nr_frames	face_age	face_sex	face_eth	attractiveness	expression	face_id	sub_id	ses	run	trial_type	catch	onset_abs	duration
-1.0	0.05507790674619173	fix	0.0		714												11.610258594433617	5.9663633144791675
-1.0	0.7050328853738392	pulse	0.0	t													12.260213573061264	
-1.0	1.4049958480127316	pulse	0.0	t													12.960176535700157	
-1.0	2.104990505215028	pulse	0.0	t													13.660171192902453	
-1.0	2.8049601086186158	pulse	0.0	t													14.360140796306041	
-1.0	3.5049448046729594	pulse	0.0	t													15.060125492360385	
-1.0	4.204949724876315	pulse	0.0	t													15.76013041256374	
-1.0	4.904901820807936	pulse	0.0	t													16.46008250849536	
-1.0	5.604885007596749	pulse	0.0	t													17.160065695284175	
0.0	6.021441221225359	face	0.0		144	22.0	male	black	2.767608436132113	neutral	044	sub-03	1.0	5.0	044_neutral	0.0	17.576621908912784	1.2332879849527671
0.0	6.3048763444157885	pulse	0.0	t		22.0	male	black	2.767608436132113	neutral	044	sub-03	1.0	5.0	044_neutral	0.0	17.860057032103214	
0.0	7.004848664497331	pulse	0.0	t		22.0	male	black	2.767608436132113	neutral	044	sub-03	1.0	5.0	044_neutral	0.0	18.560029352184756	
0.0	7.254729206178126	fix	1.0		444	22.0	male	black	2.767608436132113	neutral	044	sub-03	1.0	5.0	044_neutral	0.0	18.80990989386555	3.7582287387585893
0.0	7.704846038375763	pulse	1.0	t		22.0	male	black	2.767608436132113	neutral	044	sub-03	1.0	5.0	044_neutral	0.0	19.260026726063188	
0.0	8.404816245486472	pulse	1.0	t		22.0	male	black	2.767608436132113	neutral	044	sub-03	1.0	5.0	044_neutral	0.0	19.959996933173898	
0.0	9.10480305451074	pulse	1.0	t		22.0	male	black	2.767608436132113	neutral	044	sub-03	1.0	5.0	044_neutral	0.0	20.659983742198165	
0.0	9.80476541344342	pulse	1.0	t		22.0	male	black	2.767608436132113	neutral	044	sub-03	1.0	5.0	044_neutral	0.0	21.359946101130845	
0.0	10.504751015056172	pulse	1.0	t		22.0	male	black	2.767608436132113	neutral	044	sub-03	1.0	5.0	044_neutral	0.0	22.059931702743597	
1.0	11.012957944936716	face	0.0		146	25.0	female	west_asian	2.6756864305610826	neutral	064	sub-03	1.0	5.0	064_neutral	0.0	22.56813863262414	1.2416375403690836
1.0	11.204726957373168	pulse	0.0	t		25.0	female	west_asian	2.6756864305610826	neutral	064	sub-03	1.0	5.0	064_neutral	0.0	22.759907645060593	
1.0	11.904711351574406	pulse	0.0	t		25.0	female	west_asian	2.6756864305610826	neutral	064	sub-03	1.0	5.0	064_neutral	0.0	23.45989203926183	
1.0	12.2545954853058	fix	1.0		444	25.0	female	west_asian	2.6756864305610826	neutral	064	sub-03	1.0	5.0	064_neutral	0.0	23.809776172993224	3.7582269276408624
1.0	12.604698764304885	pulse	1.0	t		25.0	female	west_asian	2.6756864305610826	neutral	064	sub-03	1.0	5.0	064_neutral	0.0	24.15987945199231	
1.0	13.30467712144582	pulse	1.0	t		25.0	female	west_asian	2.6756864305610826	neutral	064	sub-03	1.0	5.0	064_neutral	0.0	24.859857809133246	
1.0	14.004650648938878	pulse	1.0	t		25.0	female	west_asian	2.6756864305610826	neutral	064	sub-03	1.0	5.0	064_neutral	0.0	25.559831336626303	
1.0	14.704638061669357	pulse	1.0	t		25.0	female	west_asian	2.6756864305610826	neutral	064	sub-03	1.0	5.0	064_neutral	0.0	26.259818749356782	
