trial_nr	onset	event_type	phase	response	nr_frames	face_age	face_sex	face_eth	attractiveness	expression	face_id	sub_id	ses	run	trial_type	catch	onset_abs	duration
3.0	25.076729519501896	response	2.0	e		26.0	female	white	4.854755272582572	neutral	027	sub-05	1.0	4.0	027_neutral	1.0	42.35910966650954	
3.0	25.201737405410313	pulse	2.0	t		26.0	female	white	4.854755272582572	neutral	027	sub-05	1.0	4.0	027_neutral	1.0	42.484117552417956	
3.0	25.901711838463598	pulse	2.0	t		26.0	female	white	4.854755272582572	neutral	027	sub-05	1.0	4.0	027_neutral	1.0	43.18409198547124	
3.0	26.251597481459612	fix	3.0		444	26.0	female	white	4.854755272582572	neutral	027	sub-05	1.0	4.0	027_neutral	1.0	43.533977628467255	3.758206401638745
3.0	26.601785279293836	pulse	3.0	t		26.0	female	white	4.854755272582572	neutral	027	sub-05	1.0	4.0	027_neutral	1.0	43.88416542630148	
3.0	27.30167157127471	pulse	3.0	t		26.0	female	white	4.854755272582572	neutral	027	sub-05	1.0	4.0	027_neutral	1.0	44.58405171828235	
3.0	28.00168856559867	pulse	3.0	t		26.0	female	white	4.854755272582572	neutral	027	sub-05	1.0	4.0	027_neutral	1.0	45.28406871260631	
3.0	28.701639755970973	pulse	3.0	t		26.0	female	white	4.854755272582572	neutral	027	sub-05	1.0	4.0	027_neutral	1.0	45.984019902978616	
3.0	29.401609661228576	pulse	3.0	t		26.0	female	white	4.854755272582572	neutral	027	sub-05	1.0	4.0	027_neutral	1.0	46.68398980823622	
4.0	30.009803883098357	face	0.0		146	26.0	female	white	4.854755272582572	smiling	027	sub-05	1.0	4.0	027_smiling	0.0	47.292184030106	1.241657764518095
4.0	30.101599790634282	pulse	0.0	t		26.0	female	white	4.854755272582572	smiling	027	sub-05	1.0	4.0	027_smiling	0.0	47.383979937641925	
4.0	30.80156607365643	pulse	0.0	t		26.0	female	white	4.854755272582572	smiling	027	sub-05	1.0	4.0	027_smiling	0.0	48.083946220664075	
4.0	31.251461647616452	fix	1.0		444	26.0	female	white	4.854755272582572	smiling	027	sub-05	1.0	4.0	027_smiling	0.0	48.533841794624095	3.7581988553138217
4.0	31.501588803186678	pulse	1.0	t		26.0	female	white	4.854755272582572	smiling	027	sub-05	1.0	4.0	027_smiling	0.0	48.78396895019432	
4.0	32.2015415028236	pulse	1.0	t		26.0	female	white	4.854755272582572	smiling	027	sub-05	1.0	4.0	027_smiling	0.0	49.483921649831245	
4.0	32.901507483991736	pulse	1.0	t		26.0	female	white	4.854755272582572	smiling	027	sub-05	1.0	4.0	027_smiling	0.0	50.18388763099938	
4.0	33.60150244304714	pulse	1.0	t		26.0	female	white	4.854755272582572	smiling	027	sub-05	1.0	4.0	027_smiling	0.0	50.88388259005478	
4.0	34.30148412057133	pulse	1.0	t		26.0	female	white	4.854755272582572	smiling	027	sub-05	1.0	4.0	027_smiling	0.0	51.583864267578974	
5.0	35.009660502930274	face	0.0		147	37.0	male	white	3.898925586947871	neutral	101	sub-05	1.0	4.0	101_neutral	0.0	52.29204064993792	1.2416749701387744
5.0	35.003281443800006	pulse	0.0	t		37.0	male	white	3.898925586947871	neutral	101	sub-05	1.0	4.0	101_neutral	0.0	52.28566159080765	
5.0	35.70144385338244	pulse	0.0	t		37.0	male	white	3.898925586947871	neutral	101	sub-05	1.0	4.0	101_neutral	0.0	52.983824000390086	
5.0	36.25133547306905	fix	1.0		443	37.0	male	white	3.898925586947871	neutral	101	sub-05	1.0	4.0	101_neutral	0.0	53.53371562007669	3.766541769962714
5.0	36.40142462534823	pulse	1.0	t		37.0	male	white	3.898925586947871	neutral	101	sub-05	1.0	4.0	101_neutral	0.0	53.68380477235587	
5.0	37.10141807513901	pulse	1.0	t		37.0	male	white	3.898925586947871	neutral	101	sub-05	1.0	4.0	101_neutral	0.0	54.38379822214665	
5.0	37.80139039521964	pulse	1.0	t		37.0	male	white	3.898925586947871	neutral	101	sub-05	1.0	4.0	101_neutral	0.0	55.083770542227285	
5.0	38.5013762986855	pulse	1.0	t		37.0	male	white	3.898925586947871	neutral	101	sub-05	1.0	4.0	101_neutral	0.0	55.78375644569314	
5.0	39.201355561384844	pulse	1.0	t		37.0	male	white	3.898925586947871	neutral	101	sub-05	1.0	4.0	101_neutral	0.0	56.48373570839249	
5.0	39.901317014759115	pulse	1.0	t		37.0	male	white	3.898925586947871	neutral	101	sub-05	1.0	4.0	101_neutral	0.0	57.18369716176676	
6.0	40.01787724303176	face	0.0		146	27.0	female	white	4.181058495821727	smiling	039	sub-05	1.0	4.0	039_smiling	0.0	57.300257390039405	1.2332997572193563
6.0	40.60130895528346	pulse	0.0	t		27.0	female	white	4.181058495821727	smiling	039	sub-05	1.0	4.0	039_smiling	0.0	57.8836891022911	
6.0	41.25117700025112	fix	1.0		443	27.0	female	white	4.181058495821727	smiling	039	sub-05	1.0	4.0	039_smiling	0.0	58.53355714725876	3.7582329647011647
6.0	41.30129908469098	pulse	1.0	t		27.0	female	white	4.181058495821727	smiling	039	sub-05	1.0	4.0	039_smiling	0.0	58.583679231698625	
6.0	42.00127381959646	pulse	1.0	t		27.0	female	white	4.181058495821727	smiling	039	sub-05	1.0	4.0	039_smiling	0.0	59.283653966604106	
6.0	42.701292926891256	pulse	1.0	t		27.0	female	white	4.181058495821727	smiling	039	sub-05	1.0	4.0	039_smiling	0.0	59.9836730738989	
6.0	43.40124411726356	pulse	1.0	t		27.0	female	white	4.181058495821727	smiling	039	sub-05	1.0	4.0	039_smiling	0.0	60.6836242642712	
6.0	44.101216135491995	pulse	1.0	t		27.0	female	white	4.181058495821727	smiling	039	sub-05	1.0	4.0	039_smiling	0.0	61.38359628249964	
6.0	44.801219848282926	pulse	1.0	t		27.0	female	white	4.181058495821727	smiling	039	sub-05	1.0	4.0	039_smiling	0.0	62.08359999529057	
7.0	45.00940996495228	face	0.0		146	47.0	male	east_asian	2.171110226820533	smiling	024	sub-05	1.0	4.0	024_smiling	0.0	62.291790111959926	1.241632710722115
7.0	45.501180697950986	pulse	0.0	t		47.0	male	east_asian	2.171110226820533	smiling	024	sub-05	1.0	4.0	024_smiling	0.0	62.78356084495863	
7.0	46.201162677327375	pulse	0.0	t		47.0	male	east_asian	2.171110226820533	smiling	024	sub-05	1.0	4.0	024_smiling	0.0	63.48354282433502	
7.0	46.2510426756744	fix	1.0		445	47.0	male	east_asian	2.171110226820533	smiling	024	sub-05	1.0	4.0	024_smiling	0.0	63.53342282268204	3.766547505169001
7.0	46.90114948635164	pulse	1.0	t		47.0	male	east_asian	2.171110226820533	smiling	024	sub-05	1.0	4.0	024_smiling	0.0	64.18352963335929	
7.0	47.601128749052805	pulse	1.0	t		47.0	male	east_asian	2.171110226820533	smiling	024	sub-05	1.0	4.0	024_smiling	0.0	64.88350889606045	
7.0	48.30109382466253	pulse	1.0	t		47.0	male	east_asian	2.171110226820533	smiling	024	sub-05	1.0	4.0	024_smiling	0.0	65.58347397167017	
7.0	49.001089387422326	pulse	1.0	t		47.0	male	east_asian	2.171110226820533	smiling	024	sub-05	1.0	4.0	024_smiling	0.0	66.28346953442997	
7.0	49.70106140565076	pulse	1.0	t		47.0	male	east_asian	2.171110226820533	smiling	024	sub-05	1.0	4.0	024_smiling	0.0	66.9834415526584	
