trial_nr	onset	event_type	phase	response	nr_frames	rating_type	face_id	repetition	session	rating	onset_abs	duration
0.0	0.010658252516805078	cue	0.0		479						36.78192434750781	3.9921064515192484
0.0	4.0027647040360534	fix	1.0		120						40.77403079902706	1.0251440459405785
0.0	5.027908749976632	face	0.0		146	trustworthiness	024	1.0	1		41.79917484496764	1.2753378378374691
0.0	6.303246587814101	rating	1.0		777	trustworthiness	024	1.0	1		43.07451268280511	6.483902594517531
0.0	12.787149182331632	fix	2.0		60	trustworthiness	024	1.0	1	1.5499999999999998	49.55841527732264	0.5167557545928503
1.0	13.303904936924482	face	0.0		147	trustworthiness	091	1.0	1		50.07517103191549	1.2334667136756252
1.0	14.537371650600107	rating	1.0		183	trustworthiness	091	1.0	1		51.30863774559111	1.5335060757688552
1.0	16.070877726368963	fix	2.0		60	trustworthiness	091	1.0	1	2.8	52.84214382135997	0.5167494156057728
2.0	16.587627141974735	face	0.0		147	trustworthiness	092	1.0	1		53.35889323696574	1.2334594691183156
2.0	17.82108661109305	rating	1.0		102	trustworthiness	092	1.0	1		54.59235270608406	0.8501098154092688
2.0	18.67119642650232	fix	2.0		60	trustworthiness	092	1.0	1	0.0	55.442462521493326	0.5167485100355407
3.0	19.18794493653786	face	0.0		147	trustworthiness	137	1.0	1		55.959211031528866	1.2334567524103477
3.0	20.421401688948208	rating	1.0		143	trustworthiness	137	1.0	1		57.192667783939214	1.2001492982435593
3.0	21.621550987191767	fix	2.0		60	trustworthiness	137	1.0	1	0.8300000000000001	58.39281708218277	0.5167445859015061
4.0	22.138295573093274	face	0.0		147	trustworthiness	172	1.0	1		58.90956166808428	1.2334618839713585
4.0	23.371757457064632	rating	1.0		106	trustworthiness	172	1.0	1		60.14302355205564	0.8834429273802016
4.0	24.255200384444834	fix	2.0		60	trustworthiness	172	1.0	1	-2.73	61.02646647943584	0.5167463970401514
5.0	24.771946781484985	face	0.0		147	trustworthiness	027	1.0	1		61.54321287647599	1.2334609784020358
5.0	26.00540775988702	rating	1.0		202	trustworthiness	027	1.0	1		62.77667385487803	1.6918745049551944
5.0	27.697282264842215	fix	2.0		60	trustworthiness	027	1.0	1	-1.9500000000000002	64.46854835983322	0.516789562525446
6.0	28.21407182736766	face	0.0		147	trustworthiness	130	1.0	1		64.98533792235867	1.2334163036339305
6.0	29.44748813100159	rating	1.0		199	trustworthiness	130	1.0	1		66.2187542259926	1.6668720297311665
6.0	31.11436016073276	fix	2.0		60	trustworthiness	130	1.0	1	0.0	67.88562625572376	0.5167581694458931
7.0	31.63111833017865	face	0.0		147	trustworthiness	039	1.0	1		68.40238442516966	1.2334534319879822
7.0	32.864571762166634	rating	1.0		225	trustworthiness	039	1.0	1		69.63583785715764	1.883562764425733
7.0	34.74813452659237	fix	2.0		60	trustworthiness	039	1.0	1	2.0199999999999996	71.51940062158337	0.5084190807147024
8.0	35.25655360730707	face	0.0		148	trustworthiness	038	1.0	1		72.02781970229807	1.2417973504234396
8.0	36.49835095773051	rating	1.0		127	trustworthiness	038	1.0	1		73.26961705272151	1.0667854572766373
8.0	37.565136415007146	fix	2.0		60	trustworthiness	038	1.0	1	2.24	74.33640250999815	0.5167557545928503
9.0	38.081892169599996	face	0.0		147	trustworthiness	126	1.0	1		74.853158264591	1.2334624876848466
9.0	39.31535465728484	rating	1.0		132	trustworthiness	126	1.0	1		76.08662075227585	1.1084697322412467
9.0	40.42382438952609	fix	2.0		60	trustworthiness	126	1.0	1	-2.26	77.1950904845171	0.5084064027387285
10.0	40.93223079226482	face	0.0		148	trustworthiness	011	1.0	1		77.70349688725582	1.2418009727025492
10.0	42.17403176496737	rating	1.0		242	trustworthiness	011	1.0	1		78.94529785995837	2.0252373196108238
10.0	44.19926908457819	fix	2.0		60	trustworthiness	011	1.0	1	-1.58	80.9705351795692	0.5167473026103835
11.0	44.716016387188574	face	0.0		147	trustworthiness	144	1.0	1		81.48728248217958	1.2334670155323693
11.0	45.949483402720944	rating	1.0		103	trustworthiness	144	1.0	1		82.72074949771195	0.8667704851914095
11.0	46.81625388791235	fix	2.0		60	trustworthiness	144	1.0	1	-1.35	83.58751998290336	0.5167551508802717
12.0	47.333009038792625	face	0.0		147	trustworthiness	066	1.0	1		84.10427513378363	1.233459469119225
12.0	48.56646850791185	rating	1.0		502	trustworthiness	066	1.0	1		85.33773460290286	4.192151609257053
12.0	52.7586201171689	fix	2.0		60	trustworthiness	066	1.0	1	0.009999999999999787	89.52988621215991	0.508416062149081
13.0	53.267036179317984	face	0.0		148	trustworthiness	136	1.0	1		90.03830227430899	1.2418048968374933
13.0	54.50884107615548	rating	1.0		356	trustworthiness	136	1.0	1		91.28010717114648	2.9753485839300993
13.0	57.484189660085576	fix	2.0		60	trustworthiness	136	1.0	1	2.42	94.25545575507658	0.516816125900732
14.0	58.00100578598631	face	0.0		147	trustworthiness	099	1.0	1		94.77227188097731	1.23340030523741
14.0	59.23440609122372	rating	1.0		176	trustworthiness	099	1.0	1		96.00567218621472	1.475193731526815
14.0	60.70959982275053	fix	2.0		61	trustworthiness	099	1.0	1	2.6900000000000004	97.48086591774154	0.525068581805499
15.0	61.23466840455603	face	0.0		146	trustworthiness	030	1.0	1		98.00593449954704	1.225120984100613
15.0	62.459789388656645	rating	1.0		277	trustworthiness	030	1.0	1		99.23105548364765	2.3169424226762203
15.0	64.77673181133287	fix	2.0		60	trustworthiness	030	1.0	1	2.79	101.54799790632387	0.5167584713017277
16.0	65.2934902826346	face	0.0		147	trustworthiness	043	1.0	1		102.0647563776256	1.2334633932541692
