15.8855 	WARNING 	Actual framerate: 120.01656 (1 frame = 0.00833)
15.8929 	EXP 	Created unnamed Circle = Circle(__class__=<class 'psychopy.visual.circle.Circle'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1.5, name='unnamed Circle', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([1., 1.]), units='deg', vertices=ndarray(...), win=Window(...))
15.8949 	EXP 	Created unnamed ImageStim = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=None, interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128, units='deg', win=Window(...))
16.0121 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.5, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=array([1., 1., 1.]), text=str(...), units='deg', win=Window(...), wrapWidth=500)
37.9759 	DATA 	Keypress: t
37.9761 	EXP 	window1: recordFrameIntervals = True
38.0516 	WARNING 	t of last frame was 16.47ms (=1/60)
38.6767 	DATA 	Keypress: t
39.3767 	DATA 	Keypress: t
40.0767 	DATA 	Keypress: t
40.7766 	DATA 	Keypress: t
41.4766 	DATA 	Keypress: t
42.1766 	DATA 	Keypress: t
42.8766 	DATA 	Keypress: t
43.5766 	DATA 	Keypress: t
43.9431 	WARNING 	t of last frame was 66.67ms (=1/14)
43.9431 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
43.9431 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\number\\number-64.jpg'
44.0014 	WARNING 	t of last frame was 33.33ms (=1/30)
44.2765 	DATA 	Keypress: t
44.4264 	WARNING 	t of last frame was 50.01ms (=1/19)
44.4264 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
44.4264 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\limb\\limb-132.jpg'
44.9765 	DATA 	Keypress: t
45.6765 	DATA 	Keypress: t
46.3829 	DATA 	Keypress: t
46.3973 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
46.8347 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
46.8347 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\adult\\adult-49.jpg'
47.0765 	DATA 	Keypress: t
47.7765 	DATA 	Keypress: t
48.4765 	DATA 	Keypress: t
49.1764 	DATA 	Keypress: t
49.8764 	DATA 	Keypress: t
50.5765 	DATA 	Keypress: t
51.2765 	DATA 	Keypress: t
51.9765 	DATA 	Keypress: t
52.6764 	DATA 	Keypress: t
53.2180 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
53.2180 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\adult\\adult-71.jpg'
53.3764 	DATA 	Keypress: t
54.0764 	DATA 	Keypress: t
54.7764 	DATA 	Keypress: t
55.4763 	DATA 	Keypress: t
55.6345 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
55.6345 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\limb\\limb-58.jpg'
56.1763 	DATA 	Keypress: t
56.8763 	DATA 	Keypress: t
57.5840 	DATA 	Keypress: t
58.0345 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
58.0345 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\house\\house-45.jpg'
58.2763 	DATA 	Keypress: t
58.9763 	DATA 	Keypress: t
59.6762 	DATA 	Keypress: t
60.3763 	DATA 	Keypress: t
61.0762 	DATA 	Keypress: t
61.4178 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
61.4178 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\adult\\adult-90.jpg'
61.7764 	DATA 	Keypress: t
62.4763 	DATA 	Keypress: t
63.1763 	DATA 	Keypress: t
63.8177 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
63.8177 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\car\\car-113.jpg'
63.8762 	DATA 	Keypress: t
64.5762 	DATA 	Keypress: t
65.2762 	DATA 	Keypress: t
65.9761 	DATA 	Keypress: t
66.2427 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
66.2427 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\number\\number-103.jpg'
66.6761 	DATA 	Keypress: t
67.3761 	DATA 	Keypress: t
68.0761 	DATA 	Keypress: t
68.7761 	DATA 	Keypress: t
69.4761 	DATA 	Keypress: t
69.6344 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
69.6344 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\limb\\limb-101.jpg'
70.1761 	DATA 	Keypress: t
70.8761 	DATA 	Keypress: t
71.5843 	DATA 	Keypress: t
72.0260 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
72.0260 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\house\\house-123.jpg'
72.2761 	DATA 	Keypress: t
72.9761 	DATA 	Keypress: t
73.6761 	DATA 	Keypress: t
74.4104 	DATA 	Keypress: t
74.4175 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
74.4175 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\car\\car-99.jpg'
75.0760 	DATA 	Keypress: t
75.7760 	DATA 	Keypress: t
76.4759 	DATA 	Keypress: t
76.8175 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
