trial_nr	onset	event_type	phase	response	nr_frames	face_age	face_sex	face_eth	attractiveness	expression	face_id	sub_id	ses	run	trial_type	catch	rating_type	onset_abs	duration
-1.0	0.06021037468872237	fix	0.0		713													93.45664202826993	5.957880689473313
-1.0	-50.52471240028626	response	0.0	b														42.87171925329494	
-1.0	0.701666932801345	pulse	0.0	t														94.09809858638255	
-1.0	1.4016425731188065	pulse	0.0	t														94.79807422670001	
-1.0	2.101655341577498	pulse	0.0	t														95.4980869951587	
-1.0	2.8016249447982773	pulse	0.0	t														96.19805659837948	
-1.0	3.501605112936886	pulse	0.0	t														96.89803676651809	
-1.0	4.201591921882027	pulse	0.0	t														97.59802357546323	
-1.0	4.901581145665659	pulse	0.0	t														98.29801279924686	
-1.0	5.601556484128196	pulse	0.0	t														98.9979881377094	
0.0	6.018091064162036	face	0.0		144	28.0	male	east_asian	1.5563072025467568	neutral	005	sub-08	2.0	1.0	005_neutral	1.0	dominance	99.41452271774324	1.2333253140568559
0.0	6.3015466134756934	pulse	0.0	t		28.0	male	east_asian	1.5563072025467568	neutral	005	sub-08	2.0	1.0	005_neutral	1.0	dominance	99.6979782670569	
0.0	7.001549420725496	pulse	0.0	t		28.0	male	east_asian	1.5563072025467568	neutral	005	sub-08	2.0	1.0	005_neutral	1.0	dominance	100.3979810743067	
0.0	7.251416378218892	fix	1.0		177	28.0	male	east_asian	1.5563072025467568	neutral	005	sub-08	2.0	1.0	005_neutral	1.0	dominance	100.6478480318001	1.5083204768343421
0.0	7.701528985155164	pulse	1.0	t		28.0	male	east_asian	1.5563072025467568	neutral	005	sub-08	2.0	1.0	005_neutral	1.0	dominance	101.09796063873637	
0.0	8.401504323616791	pulse	1.0	t		28.0	male	east_asian	1.5563072025467568	neutral	005	sub-08	2.0	1.0	005_neutral	1.0	dominance	101.797935977198	
0.0	8.759736855053234	rating	2.0		293	28.0	male	east_asian	1.5563072025467568	neutral	005	sub-08	2.0	1.0	005_neutral	1.0	dominance	102.15616850863444	2.4915962112390844
0.0	9.101504112319162	pulse	2.0	t		28.0	male	east_asian	1.5563072025467568	neutral	005	sub-08	2.0	1.0	005_neutral	1.0	dominance	102.49793576590037	
0.0	9.801503297310774	pulse	2.0	t		28.0	male	east_asian	1.5563072025467568	neutral	005	sub-08	2.0	1.0	005_neutral	1.0	dominance	103.19793495089198	
0.0	10.493128124385294	response	2.0	d		28.0	male	east_asian	1.5563072025467568	neutral	005	sub-08	2.0	1.0	005_neutral	1.0	dominance	103.8895597779665	
0.0	10.504145522994804	pulse	2.0	t		28.0	male	east_asian	1.5563072025467568	neutral	005	sub-08	2.0	1.0	005_neutral	1.0	dominance	103.90057717657601	
0.0	11.201440692623692	pulse	2.0	t		28.0	male	east_asian	1.5563072025467568	neutral	005	sub-08	2.0	1.0	005_neutral	1.0	dominance	104.5978723462049	
0.0	11.251333066292318	fix	3.0		444	28.0	male	east_asian	1.5563072025467568	neutral	005	sub-08	2.0	1.0	005_neutral	1.0	dominance	104.64776471987352	3.758248408998952
0.0	11.901435651648171	pulse	3.0	t		28.0	male	east_asian	1.5563072025467568	neutral	005	sub-08	2.0	1.0	005_neutral	1.0	dominance	105.29786730522937	
0.0	12.60141521607784	pulse	3.0	t		28.0	male	east_asian	1.5563072025467568	neutral	005	sub-08	2.0	1.0	005_neutral	1.0	dominance	105.99784686965904	
0.0	13.30141138252202	pulse	3.0	t		28.0	male	east_asian	1.5563072025467568	neutral	005	sub-08	2.0	1.0	005_neutral	1.0	dominance	106.69784303610322	
0.0	14.00138460800099	pulse	3.0	t		28.0	male	east_asian	1.5563072025467568	neutral	005	sub-08	2.0	1.0	005_neutral	1.0	dominance	107.3978162615822	
0.0	14.701368700251805	pulse	3.0	t		28.0	male	east_asian	1.5563072025467568	neutral	005	sub-08	2.0	1.0	005_neutral	1.0	dominance	108.09780035383301	
1.0	15.00958147529127	face	0.0		146	32.0	male	white	2.389176283326701	neutral	092	sub-08	2.0	1.0	092_neutral	0.0		108.40601312887247	1.2416607327040765
1.0	15.401359131455138	pulse	0.0	t		32.0	male	white	2.389176283326701	neutral	092	sub-08	2.0	1.0	092_neutral	0.0		108.79779078503634	
1.0	16.10134714781907	pulse	0.0	t		32.0	male	white	2.389176283326701	neutral	092	sub-08	2.0	1.0	092_neutral	0.0		109.49777880140027	
1.0	16.251242207995347	fix	1.0		445	32.0	male	white	2.389176283326701	neutral	092	sub-08	2.0	1.0	092_neutral	0.0		109.64767386157655	3.7665699423241676
1.0	16.801341804988624	pulse	1.0	t		32.0	male	white	2.389176283326701	neutral	092	sub-08	2.0	1.0	092_neutral	0.0		110.19777345856983	
1.0	17.501328010223915	pulse	1.0	t		32.0	male	white	2.389176283326701	neutral	092	sub-08	2.0	1.0	092_neutral	0.0		110.89775966380512	
1.0	18.20130214126766	pulse	1.0	t		32.0	male	white	2.389176283326701	neutral	092	sub-08	2.0	1.0	092_neutral	0.0		111.59773379484886	
1.0	18.901295591017515	pulse	1.0	t		32.0	male	white	2.389176283326701	neutral	092	sub-08	2.0	1.0	092_neutral	0.0		112.29772724459872	
1.0	19.601266401657995	pulse	1.0	t		32.0	male	white	2.389176283326701	neutral	092	sub-08	2.0	1.0	092_neutral	0.0		112.9976980552392	
2.0	20.017812150319514	face	0.0		145	54.0	female	white	2.286908077994429	neutral	136	sub-08	2.0	1.0	136_neutral	0.0		113.41424380390072	1.2333162584136517
2.0	20.301266794069306	pulse	0.0	t		54.0	female	white	2.286908077994429	neutral	136	sub-08	2.0	1.0	136_neutral	0.0		113.69769844765051	
2.0	21.001235793580236	pulse	0.0	t		54.0	female	white	2.286908077994429	neutral	136	sub-08	2.0	1.0	136_neutral	0.0		114.39766744716144	
2.0	21.251128408733166	fix	1.0		444	54.0	female	white	2.286908077994429	neutral	136	sub-08	2.0	1.0	136_neutral	0.0		114.64756006231437	3.766569036760302
2.0	21.701224413654018	pulse	1.0	t		54.0	female	white	2.286908077994429	neutral	136	sub-08	2.0	1.0	136_neutral	0.0		115.09765606723522	
2.0	22.401217561549856	pulse	1.0	t		54.0	female	white	2.286908077994429	neutral	136	sub-08	2.0	1.0	136_neutral	0.0		115.79764921513106	
2.0	23.101197729689375	pulse	1.0	t		54.0	female	white	2.286908077994429	neutral	136	sub-08	2.0	1.0	136_neutral	0.0		116.49762938327058	
2.0	23.801181520086175	pulse	1.0	t		54.0	female	white	2.286908077994429	neutral	136	sub-08	2.0	1.0	136_neutral	0.0		117.19761317366738	
2.0	24.501164706773125	pulse	1.0	t		54.0	female	white	2.286908077994429	neutral	136	sub-08	2.0	1.0	136_neutral	0.0		117.89759636035433	
2.0	24.659486043893594	response	1.0	b		54.0	female	white	2.286908077994429	neutral	136	sub-08	2.0	1.0	136_neutral	0.0		118.0559176974748	
3.0	25.017697445493468	face	0.0		145	21.0	male	east_asian/white	3.501790688420215	smiling	036	sub-08	2.0	1.0	036_smiling	0.0		118.41412909907467	1.233325917766706
3.0	25.201127971043206	pulse	0.0	t		21.0	male	east_asian/white	3.501790688420215	smiling	036	sub-08	2.0	1.0	036_smiling	0.0		118.59755962462441	
3.0	25.9011331931315	pulse	0.0	t		21.0	male	east_asian/white	3.501790688420215	smiling	036	sub-08	2.0	1.0	036_smiling	0.0		119.2975648467127	
3.0	26.251023363260174	fix	1.0		444	21.0	male	east_asian/white	3.501790688420215	smiling	036	sub-08	2.0	1.0	036_smiling	0.0		119.64745501684138	3.7582336181130813
3.0	26.60112754844704	pulse	1.0	t		21.0	male	east_asian/white	3.501790688420215	smiling	036	sub-08	2.0	1.0	036_smiling	0.0		119.99755920202824	
3.0	27.301107414730723	pulse	1.0	t		21.0	male	east_asian/white	3.501790688420215	smiling	036	sub-08	2.0	1.0	036_smiling	0.0		120.69753906831193	
3.0	28.001093619966014	pulse	1.0	t		21.0	male	east_asian/white	3.501790688420215	smiling	036	sub-08	2.0	1.0	036_smiling	0.0		121.39752527354722	
3.0	28.701094616087175	pulse	1.0	t		21.0	male	east_asian/white	3.501790688420215	smiling	036	sub-08	2.0	1.0	036_smiling	0.0		122.09752626966838	
3.0	29.401072369388203	pulse	1.0	t		21.0	male	east_asian/white	3.501790688420215	smiling	036	sub-08	2.0	1.0	036_smiling	0.0		122.7975040229694	
4.0	30.009256981373255	face	0.0		146	22.0	female	west_asian	3.8205332272184642	smiling	066	sub-08	2.0	1.0	066_smiling	0.0		123.40568863495446	1.2416634493974925
4.0	30.10105948018736	pulse	0.0	t		22.0	female	west_asian	3.8205332272184642	smiling	066	sub-08	2.0	1.0	066_smiling	0.0		123.49749113376856	
4.0	30.801037535343312	pulse	0.0	t		22.0	female	west_asian	3.8205332272184642	smiling	066	sub-08	2.0	1.0	066_smiling	0.0		124.19746918892452	
4.0	31.250920430770748	fix	1.0		444	22.0	female	west_asian	3.8205332272184642	smiling	066	sub-08	2.0	1.0	066_smiling	0.0		124.64735208435195	3.766576281275775
