trial_nr	onset	event_type	phase	response	nr_frames	trial_type	stim_name	task_probe	onset_abs	duration
0.0	0.05479144826358606	baseline	0.0		41.0		baseline	0.0	92.32135087662664	0.3486408012868196
0.0	0.4034322495504057	ISI	1.0		11.0		baseline	0.0	92.66999167791346	0.1000072142865065
1.0	0.5034394638369122	baseline	0.0		48.0		baseline	0.0	92.76999889219996	0.399984786609366
1.0	0.7035492779527885	pulse	0.0	t			baseline	0.0	92.97010870631584	
1.0	0.9034242504462782	ISI	1.0		11.0		baseline	0.0	93.16998367880933	0.09999514016681132
2.0	1.0034193906130895	baseline	0.0		48.0		baseline	0.0	93.26997881897614	0.39996697728338404
2.0	1.4033863678964735	ISI	1.0		11.0		baseline	0.0	93.66994579625953	0.10000630872764305
2.0	1.4080149815672485	pulse	1.0	t			baseline	0.0	93.6745744099303	
3.0	1.5033926766241166	baseline	0.0		48.0		baseline	0.0	93.76995210498717	0.39997995696194266
3.0	1.9033726335860592	ISI	1.0		11.0		baseline	0.0	94.16993206194911	0.09999815869650774
4.0	2.003370792282567	baseline	0.0		48.0		baseline	0.0	94.26993022064562	0.39998780513951715
4.0	2.103485164378526	pulse	0.0	t			baseline	0.0	94.37004459274158	
4.0	2.403358597422084	ISI	1.0		11.0		baseline	0.0	94.66991802578514	0.09999846054961381
5.0	2.503357057971698	baseline	0.0		48.0		baseline	0.0	94.76991648633475	0.3999920310811831
5.0	2.803455975194993	pulse	0.0	t			baseline	0.0	95.07001540355805	
5.0	2.903349089052881	ISI	1.0		11.0		baseline	0.0	95.16990851741593	0.10000238463862843
6.0	3.0033514736915095	baseline	0.0		48.0		baseline	0.0	95.26991090205456	0.39998206993277563
6.0	3.403333543624285	ISI	1.0		11.0		baseline	0.0	95.66989297198734	0.09999785684385643
7.0	3.5033314004681415	baseline	0.0		47.0		baseline	0.0	95.7698908288312	0.399989314404138
7.0	3.5074966698070966	pulse	0.0	t			baseline	0.0	95.77405609817015	
7.0	3.9033207148722795	ISI	1.0		11.0		baseline	0.0	96.16988014323533	0.10000027166779546
8.0	4.003320986540075	baseline	0.0		48.0		baseline	0.0	96.26988041490313	0.39998659772754763
8.0	4.203437743274662	pulse	0.0	t			baseline	0.0	96.46999717163771	
8.0	4.403307584267623	ISI	1.0		11.0		baseline	0.0	96.66986701263068	0.09999906425582594
9.0	4.5033066485234485	baseline	0.0		48.0		baseline	0.0	96.7698660768865	0.39999474775777344
9.0	4.903301396281222	ISI	1.0		11.0		baseline	0.0	97.16986082464427	0.09999846055006856
9.0	4.9077733482531585	pulse	1.0	t			baseline	0.0	97.17433277661621	
10.0	5.0032998568312905	baseline	0.0		48.0		baseline	0.0	97.26985928519434	0.39999233293428915
10.0	5.40329218976558	ISI	1.0		11.0		baseline	0.0	97.66985161812863	0.09999755499075036
11.0	5.50328974475633	baseline	0.0		48.0		baseline	0.0	97.76984917311938	0.39997905140262446
11.0	5.60340441870494	pulse	0.0	t			baseline	0.0	97.869963847068	
11.0	5.9032687961589545	ISI	1.0		2.0		baseline	0.0	98.169828224522	0.12500969702705333
12.0	6.028278493186008	word	0.0		45.0	character	word-74.jpg	0.0	98.29483792154906	0.37494064815700767
12.0	6.303335384927323	pulse	0.0	t		character	word-74.jpg	0.0	98.56989481329038	
12.0	6.4032191413430155	ISI	1.0		6.0	character	word-74.jpg	0.0	98.66977856970607	0.11668730837982366
13.0	6.519906449722839	word	0.0		46.0	character	word-31.jpg	0.0	98.78646587808589	0.38328627948385474
13.0	6.903192729206694	ISI	1.0		7.0	character	word-31.jpg	0.0	99.16975215756975	0.11669153432194435
14.0	7.019884263528638	word	0.0		45.0	character	word-70.jpg	0.0	99.28644369189169	0.38329684433847433
14.0	7.012049367452164	pulse	0.0	t		character	word-70.jpg	0.0	99.27860879581522	
14.0	7.403181107867113	ISI	1.0		6.0	character	word-70.jpg	0.0	99.66974053623017	0.11669757138133718
15.0	7.51987867924845	word	0.0		46.0	character	word-131.jpg	0.0	99.7864381076115	0.3832980517499891
15.0	7.703300249239874	pulse	0.0	t		character	word-131.jpg	0.0	99.96985967760293	
15.0	7.903176730998439	ISI	1.0		7.0	character	word-131.jpg	0.0	100.16973615936149	0.11667583796679537
16.0	8.019852568965234	word	0.0		46.0	character	word-90.jpg	0.0	100.28641199732829	0.38330499436870014
16.0	8.403157563333934	ISI	1.0		7.0	character	word-90.jpg	0.0	100.66971699169699	0.1166646694064184
16.0	8.441788406491014	pulse	1.0	t		character	word-90.jpg	0.0	100.70834783485407	
17.0	8.519822232740353	word	0.0		46.0	character	word-125.jpg	0.0	100.7863816611034	0.3833143518113502
17.0	8.903136584551703	ISI	1.0		8.0	character	word-125.jpg	0.0	101.16969601291476	0.11669455285164076
18.0	9.019831137403344	word	0.0		46.0	character	word-125.jpg	1.0	101.2863905657664	0.3832968443380196
18.0	9.103268433935227	pulse	0.0	t		character	word-125.jpg	1.0	101.36982786229828	
18.0	9.403127981741363	ISI	1.0		7.0	character	word-125.jpg	1.0	101.66968741010442	0.11671115476610794
19.0	9.519839136507471	word	0.0		45.0	character	word-23.jpg	0.0	101.78639856487052	0.38328748689582426
19.0	9.524151106396857	response	0.0	b		character	word-23.jpg	0.0	101.79071053475991	
19.0	9.803225963220484	pulse	0.0	t		character	word-23.jpg	0.0	102.06978539158354	
19.0	9.903126623403296	ISI	1.0		5.0	character	word-23.jpg	0.0	102.16968605176635	0.11668338429080904
20.0	10.019810007694105	word	0.0		46.0	character	word-44.jpg	0.0	102.28636943605716	0.3832911091317328
20.0	10.403101116825837	ISI	1.0		4.0	character	word-44.jpg	0.0	102.66966054518889	0.11668942135111138
21.0	10.519790538176949	word	0.0		45.0	character	word-108.jpg	0.0	102.78634996654	0.3832962406322622
21.0	10.511371556574431	pulse	0.0	t		character	word-108.jpg	0.0	102.77793098493748	
21.0	10.903086778809211	ISI	1.0		7.0	character	word-108.jpg	0.0	103.16964620717226	0.11669726952823112
22.0	11.019784048337442	word	0.0		46.0	character	word-127.jpg	0.0	103.2863434767005	0.3833022776921098
22.0	11.203194449768944	pulse	0.0	t		character	word-127.jpg	0.0	103.469753878132	
22.0	11.403086326029552	ISI	1.0		7.0	character	word-127.jpg	0.0	103.6696457543926	0.11668459170323331
23.0	11.519770917732785	word	0.0		46.0	character	word-61.jpg	0.0	103.78633034609584	0.38328809060158164
23.0	11.903059008334367	ISI	1.0		7.0	character	word-61.jpg	0.0	104.16961843669742	0.11669606211671635
23.0	11.94170403858152	pulse	1.0	t		character	word-61.jpg	0.0	104.20826346694457	
24.0	12.019755070451083	adult	0.0		46.0	face	adult-2.jpg	0.0	104.28631449881414	0.3833279351956662
24.0	12.40308300564675	ISI	1.0		3.0	face	adult-2.jpg	0.0	104.6696424340098	0.11669757138133718
25.0	12.519780577028087	adult	0.0		46.0	face	adult-80.jpg	0.0	104.78634000539114	0.3832527738027238
25.0	12.603156899257556	pulse	0.0	t		face	adult-80.jpg	0.0	104.86971632762061	
25.0	12.90303335083081	ISI	1.0		7.0	face	adult-80.jpg	0.0	105.16959277919386	0.11669545841050422
26.0	13.019728809241315	adult	0.0		46.0	face	adult-6.jpg	0.0	105.28628823760437	0.3832929202494597
26.0	13.303140689752126	pulse	0.0	t		face	adult-6.jpg	0.0	105.56970011811518	
26.0	13.403021729490774	ISI	1.0		5.0	face	adult-6.jpg	0.0	105.66958115785383	0.1166951565578529
27.0	13.519716886048627	adult	0.0		46.0	face	adult-31.jpg	0.0	105.78627631441168	0.3832859776307487
27.0	13.903002863679376	ISI	1.0		7.0	face	adult-31.jpg	0.0	106.16956229204243	0.11669817508754932
28.0	14.019701038766925	adult	0.0		45.0	face	adult-30.jpg	0.0	106.28626046712998	0.38328084612976454
28.0	14.011269379338955	pulse	0.0	t		face	adult-30.jpg	0.0	106.27782880770201	
28.0	14.40298188489669	ISI	1.0		6.0	face	adult-30.jpg	0.0	106.66954131325974	0.11671206032497139
29.0	14.519693945221661	adult	0.0		46.0	face	adult-17.jpg	0.0	106.78625337358471	0.38329986286817075
29.0	14.703114005948464	pulse	0.0	t		face	adult-17.jpg	0.0	106.96967343431152	
29.0	14.902993808089832	ISI	1.0		7.0	face	adult-17.jpg	0.0	107.16955323645288	0.11668278058505166
30.0	15.019676588674884	adult	0.0		46.0	face	adult-14.jpg	0.0	107.28623601703794	0.3833019758390037
30.0	15.402978564513887	ISI	1.0		7.0	face	adult-14.jpg	0.0	107.66953799287694	0.11668489355633938
30.0	15.437296532222263	pulse	1.0	t		face	adult-14.jpg	0.0	107.70385596058532	
31.0	15.519663458070227	adult	0.0		46.0	face	adult-28.jpg	0.0	107.78622288643328	0.3832992591619586
31.0	15.902962717232185	ISI	1.0		6.0	face	adult-28.jpg	0.0	108.16952214559524	0.11668730838027841
32.0	16.019650025612464	adult	0.0		46.0	face	adult-114.jpg	0.0	108.28620945397552	0.38329080727862674
32.0	16.10306407946473	pulse	0.0	t		face	adult-114.jpg	0.0	108.36962350782778	
32.0	16.40294083289109	ISI	1.0		6.0	face	adult-114.jpg	0.0	108.66950026125414	0.1166960621162616
33.0	16.519636895007352	adult	0.0		46.0	face	adult-75.jpg	0.0	108.7861963233704	0.3832880906020364
33.0	16.803044247723392	pulse	0.0	t		face	adult-75.jpg	0.0	109.06960367608644	
33.0	16.90292498560939	ISI	1.0		6.0	face	adult-75.jpg	0.0	109.16948441397244	0.1166987787933067
34.0	17.019623764402695	adult	0.0		46.0	face	adult-7.jpg	0.0	109.28618319276575	0.3832905054255207
34.0	17.402914269828216	ISI	1.0		6.0	face	adult-7.jpg	0.0	109.66947369819127	0.11668942135065663
35.0	17.519603691178872	adult	0.0		45.0	face	adult-11.jpg	0.0	109.78616311954192	0.38329684433847433
35.0	17.51104404608577	pulse	0.0	t		face	adult-11.jpg	0.0	109.77760347444882	
35.0	17.902900535517347	ISI	1.0		6.0	face	adult-11.jpg	0.0	110.1694599638804	0.1166987787933067
36.0	18.019599314310653	body	0.0		46.0	body	body-26.jpg	0.0	110.2861587426737	0.38328114798332535
36.0	18.203006395359353	pulse	0.0	t		body	body-26.jpg	0.0	110.4695658237224	
36.0	18.40288046229398	ISI	1.0		5.0	body	body-26.jpg	0.0	110.66943989065703	0.11670391029429084
36.0	18.48632741812162	response	1.0	b		body	body-26.jpg	0.0	110.75288684648467	
37.0	18.51958437258827	body	0.0		46.0	body	body-48.jpg	0.0	110.78614380095132	0.38333095372536263
37.0	18.902915326313632	ISI	1.0		3.0	body	body-48.jpg	0.0	111.16947475467668	0.11669123246883828
37.0	18.973576695259453	pulse	1.0	t		body	body-48.jpg	0.0	111.2401361236225	
38.0	19.01960655878247	body	0.0		46.0	body	body-119.jpg	0.0	111.28616598714552	0.3832554904793142
38.0	19.402862049261785	ISI	1.0		6.0	body	body-119.jpg	0.0	111.66942147762484	0.11669636396936767
39.0	19.519558413231152	body	0.0		46.0	body	body-25.jpg	0.0	111.7861178415942	0.38329020357286936
39.0	19.603023782090986	pulse	0.0	t		body	body-25.jpg	0.0	111.86958321045404	
39.0	19.90284861680402	ISI	1.0		7.0	body	body-25.jpg	0.0	112.16940804516707	0.11669576026361028
40.0	20.019544377067632	body	0.0		46.0	body	body-37.jpg	0.0	112.28610380543068	0.38328929801355116
40.0	20.30296229463829	pulse	0.0	t		body	body-37.jpg	0.0	112.56952172300134	
40.0	20.402833675081183	ISI	1.0		7.0	body	body-37.jpg	0.0	112.66939310344424	0.11669636396936767
41.0	20.51953003905055	body	0.0		46.0	body	body-138.jpg	0.0	112.7860894674136	0.3832892980140059
41.0	20.902819337064557	ISI	1.0		6.0	body	body-138.jpg	0.0	113.16937876542761	0.11669274173345912
42.0	21.019512078798016	body	0.0		45.0	body	body-80.jpg	0.0	113.28607150716107	0.3832865813369608
42.0	21.011185162356014	pulse	0.0	t		body	body-80.jpg	0.0	113.27774459071907	
42.0	21.402798660134977	ISI	1.0		5.0	body	body-80.jpg	0.0	113.66935808849803	0.1167060232651238
43.0	21.5195046834001	body	0.0		46.0	body	body-93.jpg	0.0	113.78606411176315	0.38329141098438413
43.0	21.702919310773268	pulse	0.0	t		body	body-93.jpg	0.0	113.96947873913632	
43.0	21.902796094384485	ISI	1.0		7.0	body	body-93.jpg	0.0	114.16935552274754	0.1166969676755798
44.0	22.019493062060064	body	0.0		46.0	body	body-139.jpg	0.0	114.28605249042312	0.3832871850427182
44.0	22.402780247102783	ISI	1.0		3.0	body	body-139.jpg	0.0	114.66933967546584	0.11669606211671635
44.0	22.472860247199606	pulse	1.0	t		body	body-139.jpg	0.0	114.73941967556266	
45.0	22.5194763092195	body	0.0		46.0	body	body-52.jpg	0.0	114.78603573758255	0.38329080727862674
45.0	22.902767116498126	ISI	1.0		7.0	body	body-52.jpg	0.0	115.16932654486118	0.11669636396936767
46.0	23.019463480467493	body	0.0		46.0	body	body-94.jpg	0.0	115.28602290883055	0.3832895998666572
46.0	23.10288749546862	pulse	0.0	t		body	body-94.jpg	0.0	115.36944692383167	
46.0	23.40275308033415	ISI	1.0		7.0	body	body-94.jpg	0.0	115.6693125086972	0.11669757138179193
47.0	23.519450651715943	body	0.0		46.0	body	body-41.jpg	0.0	115.786010080079	0.38329865545620123
47.0	23.802859211843952	pulse	0.0	t		body	body-41.jpg	0.0	116.069418640207	
47.0	23.902749307172144	ISI	1.0		7.0	body	body-41.jpg	0.0	116.1693087355352	0.11668308243815773
48.0	24.0194323896103	body	0.0		46.0	body	body-21.jpg	0.0	116.28599181797335	0.38329382580832316
48.0	24.344510848747177	response	0.0	b		body	body-21.jpg	0.0	116.61107027711023	
48.0	24.402726215418625	ISI	1.0		7.0	body	body-21.jpg	0.0	116.66928564378168	0.11668217687929427
49.0	24.51940839229792	body	0.0		45.0	body	body-112.jpg	0.0	116.78596782066097	0.38330559807491227
49.0	24.510966168015784	pulse	0.0	t		body	body-112.jpg	0.0	116.77752559637884	
49.0	24.90271399037283	ISI	1.0		6.0	body	body-112.jpg	0.0	117.16927341873588	0.1166960621162616
50.0	25.019410052489093	body	0.0		46.0	body	body-47.jpg	0.0	117.28596948085215	0.38333035002006
50.0	25.202856978131877	pulse	0.0	t		body	body-47.jpg	0.0	117.46941640649493	
50.0	25.402740402509153	ISI	1.0		6.0	body	body-47.jpg	0.0	117.6692998308722	0.12502388411712673
51.0	25.52776428662628	body	0.0		45.0	body	body-7.jpg	0.0	117.79432371498933	0.3749566463652627
51.0	25.902720932991542	ISI	1.0		6.0	body	body-7.jpg	0.0	118.1692803613546	0.1166987787933067
51.0	25.94940068599135	pulse	1.0	t		body	body-7.jpg	0.0	118.2159601143544	
52.0	26.01941971178485	body	0.0		46.0	body	body-60.jpg	0.0	118.2859791401479	0.3832539812142386
52.0	26.402673692999088	ISI	1.0		7.0	body	body-60.jpg	0.0	118.66923312136214	0.11671417329580436
53.0	26.519387866294892	body	0.0		46.0	body	body-3.jpg	0.0	118.78594729465794	0.3832729979526448
53.0	26.602798599764355	pulse	0.0	t		body	body-3.jpg	0.0	118.86935802812741	
53.0	26.902660864247537	ISI	1.0		7.0	body	body-3.jpg	0.0	119.16922029261059	0.1166960621162616
54.0	27.0193569263638	body	0.0		46.0	body	body-10.jpg	0.0	119.28591635472685	0.38329473136764136
54.0	27.30276729760999	pulse	0.0	t		body	body-10.jpg	0.0	119.56932672597304	
54.0	27.40265165773144	ISI	1.0		6.0	body	body-10.jpg	0.0	119.66921108609449	0.11669093061573221
55.0	27.519342588347172	body	0.0		46.0	body	body-2.jpg	0.0	119.78590201671022	0.3832929202494597
55.0	27.90263550859663	ISI	1.0		6.0	body	body-2.jpg	0.0	120.16919493695968	0.11669153432194435
56.0	28.019327042918576	body	0.0		45.0	body	body-46.jpg	0.0	120.28588647128163	0.38329110913127806
56.0	28.011035745128538	pulse	0.0	t		body	body-46.jpg	0.0	120.27759517349159	
56.0	28.402618152049854	ISI	1.0		7.0	body	body-46.jpg	0.0	120.6691775804129	0.11669877879376145
57.0	28.519316930843615	body	0.0		46.0	body	body-89.jpg	0.0	120.78587635920667	0.38328929801355116
57.0	28.70272401189186	pulse	0.0	t		body	body-89.jpg	0.0	120.96928344025491	
57.0	28.902606228857167	ISI	1.0		6.0	body	body-89.jpg	0.0	121.16916565722022	0.11669968435217015
58.0	29.019305913209337	body	0.0		46.0	body	body-11.jpg	0.0	121.28586534157239	0.3832895998666572
58.0	29.402595513075994	ISI	1.0		7.0	body	body-11.jpg	0.0	121.66915494143905	0.1166951565578529
58.0	29.436916801167172	pulse	1.0	t		body	body-11.jpg	0.0	121.70347622953022	
59.0	29.519290669633847	body	0.0		46.0	body	body-70.jpg	0.0	121.7858500979969	0.3832932221025658
59.0	29.73602684801199	response	0.0	b		body	body-70.jpg	0.0	122.00258627637504	
59.0	29.902583891736413	ISI	1.0		8.0	body	body-70.jpg	0.0	122.16914332009947	0.11669243988035305
60.0	30.019276331616766	car	0.0		46.0	object	car-103.jpg	0.0	122.28583575997982	0.38329080727862674
60.0	30.102714835561073	pulse	0.0	t		object	car-103.jpg	0.0	122.36927426392413	
60.0	30.402567138895392	ISI	1.0		5.0	object	car-103.jpg	0.0	122.66912656725844	0.11669485470474683
61.0	30.51926199360014	car	0.0		46.0	object	car-48.jpg	0.0	122.78582142196319	0.3832932221025658
61.0	30.802663611109438	pulse	0.0	t		object	car-48.jpg	0.0	123.06922303947249	
61.0	30.902555215702705	ISI	1.0		7.0	object	car-48.jpg	0.0	123.16911464406576	0.11669485470474683
62.0	31.019250070407452	car	0.0		46.0	object	car-102.jpg	0.0	123.2858094987705	0.3832669608927972
62.0	31.40251703130025	ISI	1.0		8.0	object	car-102.jpg	0.0	123.6690764596633	0.11671477700156174
63.0	31.51923180830181	car	0.0		45.0	object	car-102.jpg	1.0	123.78579123666486	0.38329080727862674
63.0	31.51207427032341	pulse	0.0	t		object	car-102.jpg	1.0	123.77863369868646	
63.0	31.902522615580438	ISI	1.0		5.0	object	car-102.jpg	1.0	124.16908204394349	0.11669908064641277
64.0	32.01922169622685	car	0.0		46.0	object	car-124.jpg	0.0	124.2857811245899	0.3833240111066516
64.0	32.15268056015475	response	0.0	b		object	car-124.jpg	0.0	124.4192399885178	
64.0	32.20264990698388	pulse	0.0	t		object	car-124.jpg	0.0	124.46920933534693	
64.0	32.4025457073335	ISI	1.0		7.0	object	car-124.jpg	0.0	124.66910513569655	0.11670058991148835
65.0	32.51924629724499	car	0.0		46.0	object	car-114.jpg	0.0	124.78580572560804	0.38325428306734466
65.0	32.902500580312335	ISI	1.0		6.0	object	car-114.jpg	0.0	125.16906000867539	0.11669938249951883
65.0	32.94322477391961	pulse	1.0	t		object	car-114.jpg	0.0	125.20978420228266	
66.0	33.019199962811854	car	0.0		46.0	object	car-69.jpg	0.0	125.2857593911749	0.3832877887489303
66.0	33.402487751560784	ISI	1.0		7.0	object	car-69.jpg	0.0	125.66904717992384	0.11669908064595802
67.0	33.51918683220674	car	0.0		46.0	object	car-119.jpg	0.0	125.7857462605698	0.3832971461915804
67.0	33.602618695385445	pulse	0.0	t		object	car-119.jpg	0.0	125.8691781237485	
