trial_nr	onset	event_type	phase	response	nr_frames	face_age	face_sex	face_eth	attractiveness	expression	face_id	sub_id	ses	run	trial_type	catch	rating_type	onset_abs	duration
-1.0	0.060631397962652045	fix	0.0		713													94.45064567862755	5.957881245602266
-1.0	0.7021218151867288	pulse	0.0	t														95.09213609585163	
-1.0	1.4021010778867549	pulse	0.0	t														95.79211535855165	
-1.0	2.1020827554104926	pulse	0.0	t														96.49209703607539	
-1.0	2.8020656403462	pulse	0.0	t														97.1920799210111	
-1.0	3.5020361493095606	pulse	0.0	t														97.89205042997446	
-1.0	4.202028693541024	pulse	0.0	t														98.59204297420592	
-1.0	4.901991656179689	pulse	0.0	t														99.29200593684459	
-1.0	5.601981181881001	pulse	0.0	t														99.9919954625459	
0.0	6.018512643564918	face	0.0		144	31.0	female	white	2.1822522881018704	smiling	102	sub-12	1.0	1.0	102_smiling	0.0		100.40852692422982	1.233319981369732
0.0	6.301979763172085	pulse	0.0	t		31.0	female	white	2.1822522881018704	smiling	102	sub-12	1.0	1.0	102_smiling	0.0		100.69199404383698	
0.0	7.001940310987038	pulse	0.0	t		31.0	female	white	2.1822522881018704	smiling	102	sub-12	1.0	1.0	102_smiling	0.0		101.39195459165194	
0.0	7.25183262493465	fix	1.0		445	31.0	female	white	2.1822522881018704	smiling	102	sub-12	1.0	1.0	102_smiling	0.0		101.64184690559955	3.7665635033781655
0.0	7.701942514513803	pulse	1.0	t		31.0	female	white	2.1822522881018704	smiling	102	sub-12	1.0	1.0	102_smiling	0.0		102.0919567951787	
0.0	8.401912117918073	pulse	1.0	t		31.0	female	white	2.1822522881018704	smiling	102	sub-12	1.0	1.0	102_smiling	0.0		102.79192639858297	
0.0	9.102150974185179	pulse	1.0	t		31.0	female	white	2.1822522881018704	smiling	102	sub-12	1.0	1.0	102_smiling	0.0		103.49216525485008	
0.0	9.801873963700928	pulse	1.0	t		31.0	female	white	2.1822522881018704	smiling	102	sub-12	1.0	1.0	102_smiling	0.0		104.19188824436583	
0.0	10.501854433812696	pulse	1.0	t		31.0	female	white	2.1822522881018704	smiling	102	sub-12	1.0	1.0	102_smiling	0.0		104.8918687144776	
1.0	11.018396128312816	face	0.0		145	20.0	male	black	2.609629924393156	neutral	043	sub-12	1.0	1.0	043_neutral	0.0		105.40841040897772	1.2333054924263251
1.0	11.201840639131433	pulse	0.0	t		20.0	male	black	2.609629924393156	neutral	043	sub-12	1.0	1.0	043_neutral	0.0		105.59185491979633	
1.0	11.901821109243201	pulse	0.0	t		20.0	male	black	2.609629924393156	neutral	043	sub-12	1.0	1.0	043_neutral	0.0		106.2918353899081	
1.0	12.25170162073914	fix	1.0		444	20.0	male	black	2.609629924393156	neutral	043	sub-12	1.0	1.0	043_neutral	0.0		106.64171590140404	3.7582963538272907
1.0	12.60180731456171	pulse	1.0	t		20.0	male	black	2.609629924393156	neutral	043	sub-12	1.0	1.0	043_neutral	0.0		106.99182159522661	
1.0	13.301807706970749	pulse	1.0	t		20.0	male	black	2.609629924393156	neutral	043	sub-12	1.0	1.0	043_neutral	0.0		107.69182198763565	
1.0	14.001751049165478	pulse	1.0	t		20.0	male	black	2.609629924393156	neutral	043	sub-12	1.0	1.0	043_neutral	0.0		108.39176532983038	
1.0	14.701777099078072	pulse	1.0	t		20.0	male	black	2.609629924393156	neutral	043	sub-12	1.0	1.0	043_neutral	0.0		109.09179137974297	
1.0	15.401721044978785	pulse	1.0	t		20.0	male	black	2.609629924393156	neutral	043	sub-12	1.0	1.0	043_neutral	0.0		109.79173532564369	
2.0	16.00999797456643	face	0.0		146	37.0	male	white	3.898925586947871	smiling	101	sub-12	1.0	1.0	101_smiling	0.0		110.40001225523133	1.2415732456831847
2.0	16.10170906141525	pulse	0.0	t		37.0	male	white	3.898925586947871	smiling	101	sub-12	1.0	1.0	101_smiling	0.0		110.49172334208015	
2.0	16.80169496488088	pulse	0.0	t		37.0	male	white	3.898925586947871	smiling	101	sub-12	1.0	1.0	101_smiling	0.0		111.19170924554578	
2.0	17.251571220249616	fix	1.0		444	37.0	male	white	3.898925586947871	smiling	101	sub-12	1.0	1.0	101_smiling	0.0		111.64158550091452	3.7581946293712463
2.0	17.501681773905375	pulse	1.0	t		37.0	male	white	3.898925586947871	smiling	101	sub-12	1.0	1.0	101_smiling	0.0		111.89169605457028	
2.0	18.201656810663508	pulse	1.0	t		37.0	male	white	3.898925586947871	smiling	101	sub-12	1.0	1.0	101_smiling	0.0		112.59167109132841	
2.0	18.901633658539595	pulse	1.0	t		37.0	male	white	3.898925586947871	smiling	101	sub-12	1.0	1.0	101_smiling	0.0		113.2916479392045	
2.0	19.601619863858105	pulse	1.0	t		37.0	male	white	3.898925586947871	smiling	101	sub-12	1.0	1.0	101_smiling	0.0		113.991634144523	
2.0	20.301616634031234	pulse	1.0	t		37.0	male	white	3.898925586947871	smiling	101	sub-12	1.0	1.0	101_smiling	0.0		114.69163091469613	
