10.5571 	WARNING 	Actual framerate: 120.00330 (1 frame = 0.00833)
10.5644 	EXP 	Created unnamed Circle = Circle(__class__=<class 'psychopy.visual.circle.Circle'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1.5, name='unnamed Circle', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([1., 1.]), units='deg', vertices=ndarray(...), win=Window(...))
10.5661 	EXP 	Created unnamed ImageStim = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=None, interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128, units='deg', win=Window(...))
10.6818 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.5, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=array([1., 1., 1.]), text=str(...), units='deg', win=Window(...), wrapWidth=500)
34.2164 	DATA 	Keypress: t
34.2166 	EXP 	window1: recordFrameIntervals = True
34.2897 	WARNING 	t of last frame was 16.42ms (=1/60)
34.9231 	DATA 	Keypress: t
35.6230 	DATA 	Keypress: t
36.3230 	DATA 	Keypress: t
37.0230 	DATA 	Keypress: t
37.7230 	DATA 	Keypress: t
38.4230 	DATA 	Keypress: t
39.1229 	DATA 	Keypress: t
39.8229 	DATA 	Keypress: t
40.2645 	WARNING 	t of last frame was 141.67ms (=1/7)
40.2645 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
40.2645 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\house\\house-12.jpg'
40.5229 	DATA 	Keypress: t
40.6894 	WARNING 	t of last frame was 66.70ms (=1/14)
40.6894 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
40.6894 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\limb\\limb-58.jpg'
41.2229 	DATA 	Keypress: t
41.9229 	DATA 	Keypress: t
42.6229 	DATA 	Keypress: t
43.3229 	DATA 	Keypress: t
44.0228 	DATA 	Keypress: t
44.7228 	DATA 	Keypress: t
45.4228 	DATA 	Keypress: t
45.6393 	WARNING 	t of last frame was 24.98ms (=1/40)
46.1226 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
46.1226 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
46.1226 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\car\\car-110.jpg'
46.1228 	DATA 	Keypress: t
46.8227 	DATA 	Keypress: t
47.5227 	DATA 	Keypress: t
48.2226 	DATA 	Keypress: t
48.4975 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
48.4975 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\number\\number-90.jpg'
48.9226 	DATA 	Keypress: t
49.6226 	DATA 	Keypress: t
50.3226 	DATA 	Keypress: t
50.8808 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
50.8808 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\house\\house-105.jpg'
51.0226 	DATA 	Keypress: t
51.7226 	DATA 	Keypress: t
52.4226 	DATA 	Keypress: t
53.1225 	DATA 	Keypress: t
53.2724 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
53.2724 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\number\\number-101.jpg'
53.8225 	DATA 	Keypress: t
54.5225 	DATA 	Keypress: t
55.2225 	DATA 	Keypress: t
55.9224 	DATA 	Keypress: t
56.6725 	DATA 	Keypress: t
56.6806 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
56.6806 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\house\\house-91.jpg'
57.3224 	DATA 	Keypress: t
58.0224 	DATA 	Keypress: t
58.7224 	DATA 	Keypress: t
59.0973 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
59.0973 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\number\\number-66.jpg'
59.4224 	DATA 	Keypress: t
60.1224 	DATA 	Keypress: t
60.8224 	DATA 	Keypress: t
61.5178 	DATA 	Keypress: t
61.5222 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
61.5222 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\adult\\adult-15.jpg'
62.2223 	DATA 	Keypress: t
62.9223 	DATA 	Keypress: t
63.6222 	DATA 	Keypress: t
63.8721 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
