trial_nr	onset	event_type	phase	response	nr_frames	rating_type	face_id	repetition	session	rating	onset_abs	duration
0.0	0.008516278519891785	cue	0.0		479						18.998889167938614	3.9921200350636354
0.0	4.000636313583527	fix	1.0		120						22.99100920300225	1.0251558183454108
0.0	5.025792131928938	face	0.0		146	attractiveness	141	1.0	1		24.01616502134766	1.275355949229379
0.0	6.301148081158317	rating	1.0		132	attractiveness	141	1.0	1		25.29152097057704	1.1082243228756852
0.0	7.409372404034002	fix	2.0		59	attractiveness	141	1.0	1	-0.8199999999999998	26.399745293452725	0.517104398894844
1.0	7.926476802928846	face	0.0		147	attractiveness	121	1.0	1		26.91684969234757	1.2331232009355517
1.0	9.159600003864398	rating	1.0		93	attractiveness	121	1.0	1		28.14997289328312	0.7834091798195004
1.0	9.943009183683898	fix	2.0		60	attractiveness	121	1.0	1	-0.040000000000000036	28.93338207310262	0.5167663195716159
2.0	10.459775503255514	face	0.0		147	attractiveness	102	1.0	1		29.450148392674237	1.233451620849337
2.0	11.693227124104851	rating	1.0		98	attractiveness	102	1.0	1		30.683600013523574	0.825104623475454
2.0	12.518331747580305	fix	2.0		60	attractiveness	102	1.0	1	-1.48	31.508704636999028	0.516743982188018
3.0	13.035075729768323	face	0.0		147	attractiveness	030	1.0	1		32.025448619187046	1.233456148697769
3.0	14.268531878466092	rating	1.0		79	attractiveness	030	1.0	1		33.258904767884815	0.6667911321792417
3.0	14.935323010645334	fix	2.0		60	attractiveness	030	1.0	1	0.6799999999999997	33.925695900064056	0.5167198336648653
4.0	15.4520428443102	face	0.0		147	attractiveness	137	1.0	1		34.44241573372892	1.233455243127537
4.0	16.685498087437736	rating	1.0		310	attractiveness	137	1.0	1		35.67587097685646	2.5919959116545215
4.0	19.277493999092258	fix	2.0		60	attractiveness	137	1.0	1	0.0	38.26786688851098	0.5167388506270072
5.0	19.794232849719265	face	0.0		147	attractiveness	091	1.0	1		38.78460573913799	1.233449205996294
5.0	21.02768205571556	rating	1.0		100	attractiveness	091	1.0	1		40.01805494513428	0.8417637839775125
5.0	21.86944583969307	fix	2.0		60	attractiveness	091	1.0	1	0.9000000000000004	40.859818729111794	0.5167524341704848
6.0	22.386198273863556	face	0.0		147	attractiveness	092	1.0	1		41.37657116328228	1.23346852481518
6.0	23.619666798678736	rating	1.0		191	attractiveness	092	1.0	1		42.61003968809746	1.600190109248615
6.0	25.21985690792735	fix	2.0		60	attractiveness	092	1.0	1	0.16999999999999993	44.210229797346074	0.5167533397407169
7.0	25.736610247668068	face	0.0		147	attractiveness	006	1.0	1		44.72698313708679	1.2334579598355049
7.0	26.970068207503573	rating	1.0		87	attractiveness	006	1.0	1		45.960441096922295	0.7334156999213519
7.0	27.703483907424925	fix	2.0		60	attractiveness	006	1.0	1	0.3700000000000001	46.69385679684365	0.5167657158581278
8.0	28.220249623283053	face	0.0		147	attractiveness	061	1.0	1		47.210622512701775	1.2334443762920273
8.0	29.45369399957508	rating	1.0		70	attractiveness	061	1.0	1		48.4440668889938	0.591743861446048
8.0	30.045437861021128	fix	2.0		60	attractiveness	061	1.0	1	-0.41999999999999993	49.03581075043985	0.5167566601621729
9.0	30.5621945211833	face	0.0		147	attractiveness	136	1.0	1		49.55256741060202	1.2334984086128316
9.0	31.795692929796132	rating	1.0		126	attractiveness	136	1.0	1		50.786065819214855	1.0584170884603736
9.0	32.854110018256506	fix	2.0		60	attractiveness	136	1.0	1	-3.07	51.84448290767523	0.5167599805845384
10.0	33.370869998841044	face	0.0		147	attractiveness	124	1.0	1		52.36124288825977	1.233451620849337
10.0	34.60432161969038	rating	1.0		115	attractiveness	124	1.0	1		53.594694509109104	0.9667803860866115
10.0	35.57110200577699	fix	2.0		60	attractiveness	124	1.0	1	3.29	54.561474895195715	0.5167859402463364
11.0	36.08788794602333	face	0.0		147	attractiveness	027	1.0	1		55.07826083544205	1.2334235481912401
11.0	37.32131149421457	rating	1.0		239	attractiveness	027	1.0	1		56.31168438363329	2.000244201939495
11.0	39.321555696154064	fix	2.0		60	attractiveness	027	1.0	1	1.1900000000000004	58.31192858557279	0.5167566601630824
12.0	39.83831235631715	face	0.0		147	attractiveness	064	1.0	1		58.82868524573587	1.233444980004606
12.0	41.07175733632175	rating	1.0		88	attractiveness	064	1.0	1		60.062130225740475	0.7417587127874867
12.0	41.81351604910924	fix	2.0		60	attractiveness	064	1.0	1	-0.41999999999999993	60.80388893852796	0.5167545471667836
13.0	42.33027059627602	face	0.0		147	attractiveness	044	1.0	1		61.320643485694745	1.233452828274494
13.0	43.56372342455052	rating	1.0		59	attractiveness	044	1.0	1		62.55409631396924	0.5000621824474365
13.0	44.06378560699795	fix	2.0		61	attractiveness	044	1.0	1	0.71	63.054158496416676	0.5168300113009536
14.0	44.58061561829891	face	0.0		147	attractiveness	126	1.0	1		63.57098850771763	1.2333824957022443
14.0	45.81399811400115	rating	1.0		80	attractiveness	126	1.0	1		64.80437100341987	0.6750755848770496
14.0	46.4890736988782	fix	2.0		60	attractiveness	126	1.0	1	0.8099999999999996	65.47944658829692	0.5167762808378029
15.0	47.005849979716004	face	0.0		147	attractiveness	066	1.0	1		65.99622286913473	1.233436226165395
