trial_nr	onset	event_type	phase	response	nr_frames	face_age	face_sex	face_eth	attractiveness	expression	face_id	sub_id	ses	run	trial_type	catch	rating_type	onset_abs	duration
-1.0	0.058258153651195244	fix	0.0		713													24.206817652884638	5.957936103785187
-1.0	0.6999499825074054	pulse	0.0	t														24.848509481740848	
-1.0	1.399929546875228	pulse	0.0	t														25.54848904610867	
-1.0	2.0999139409345844	pulse	0.0	t														26.248473440168027	
-1.0	2.799901655406984	pulse	0.0	t														26.948461154640427	
-1.0	3.499920461018064	pulse	0.0	t														27.648479960251507	
-1.0	4.1998719528041875	pulse	0.0	t														28.34843145203763	
-1.0	4.899868421092378	pulse	0.0	t														29.04842792032582	
-1.0	5.599741128535925	pulse	0.0	t														29.748300627769368	
0.0	6.016194257436382	face	0.0		144	40.0	female	west_asian	1.5777954635893354	neutral	038	sub-15	1.0	2.0	038_neutral	0.0		30.164753756669825	1.233324810940303
0.0	6.299794345698956	pulse	0.0	t		40.0	female	west_asian	1.5777954635893354	neutral	038	sub-15	1.0	2.0	038_neutral	0.0		30.4483538449324	
0.0	6.999768778519638	pulse	0.0	t		40.0	female	west_asian	1.5777954635893354	neutral	038	sub-15	1.0	2.0	038_neutral	0.0		31.14832827775308	
0.0	7.249519068376685	fix	1.0		445	40.0	female	west_asian	1.5777954635893354	neutral	038	sub-15	1.0	2.0	038_neutral	0.0		31.398078567610128	3.758265790600717
0.0	7.699669558545111	pulse	1.0	t		40.0	female	west_asian	1.5777954635893354	neutral	038	sub-15	1.0	2.0	038_neutral	0.0		31.848229057778553	
0.0	8.3996560655944	pulse	1.0	t		40.0	female	west_asian	1.5777954635893354	neutral	038	sub-15	1.0	2.0	038_neutral	0.0		32.54821556482784	
0.0	9.099610575937731	pulse	1.0	t		40.0	female	west_asian	1.5777954635893354	neutral	038	sub-15	1.0	2.0	038_neutral	0.0		33.248170075171174	
0.0	9.799599497832787	pulse	1.0	t		40.0	female	west_asian	1.5777954635893354	neutral	038	sub-15	1.0	2.0	038_neutral	0.0		33.94815899706623	
0.0	10.499592041996493	pulse	1.0	t		40.0	female	west_asian	1.5777954635893354	neutral	038	sub-15	1.0	2.0	038_neutral	0.0		34.648151541229936	
1.0	11.007784858977402	face	0.0		146	25.0	female	black	3.858336649423	smiling	126	sub-15	1.0	2.0	126_smiling	0.0		35.156344358210845	1.2416481805194053
1.0	11.199579756468893	pulse	0.0	t		25.0	female	black	3.858336649423	smiling	126	sub-15	1.0	2.0	126_smiling	0.0		35.348139255702336	
1.0	11.899560528259599	pulse	0.0	t		25.0	female	black	3.858336649423	smiling	126	sub-15	1.0	2.0	126_smiling	0.0		36.04812002749304	
1.0	12.249433039496807	fix	1.0		445	25.0	female	black	3.858336649423	smiling	126	sub-15	1.0	2.0	126_smiling	0.0		36.39799253873025	3.758244358844877
