trial_nr	onset	event_type	phase	response	nr_frames	trial_type	stim_name	task_probe	onset_abs	duration
0.0	0.053395559883483656	baseline	0.0		701		baseline	0.0	32.89291970245472	5.848108315491345
0.0	0.7017137254701993	pulse	0.0	t			baseline	0.0	33.541237868041435	
0.0	1.401688158290881	pulse	0.0	t			baseline	0.0	34.24121230086212	
0.0	2.101666817091427	pulse	0.0	t			baseline	0.0	34.94119095966266	
0.0	2.801668115071152	pulse	0.0	t			baseline	0.0	35.64119225764239	
0.0	3.5016407367575084	pulse	0.0	t			baseline	0.0	36.341164879328744	
0.0	4.201634790199705	pulse	0.0	t			baseline	0.0	37.04115893277094	
0.0	4.901618278692013	pulse	0.0	t			baseline	0.0	37.74114242126325	
0.0	5.601614746980204	pulse	0.0	t			baseline	0.0	38.44113888955144	
0.0	5.901503875374829	ISI	1.0		0		baseline	0.0	38.741028017946064	0.12499996226802068
1.0	6.026503837642849	number	0.0		45	character	number-104.jpg	0.0	38.866027980214085	0.3749564195804851
1.0	6.301578916706376	pulse	0.0	t		character	number-104.jpg	0.0	39.14110305927761	
1.0	6.401460257223334	ISI	1.0		472	character	number-104.jpg	0.0	39.24098439979457	4.016636777919757
1.0	7.001604966854757	pulse	1.0	t		character	number-104.jpg	0.0	39.84112910942599	
1.0	7.701594492461481	pulse	1.0	t		character	number-104.jpg	0.0	40.54111863503272	
1.0	8.40157737724212	pulse	1.0	t		character	number-104.jpg	0.0	41.241101519813355	
1.0	9.101574449241753	pulse	1.0	t		character	number-104.jpg	0.0	41.94109859181299	
1.0	9.801551296908201	pulse	1.0	t		character	number-104.jpg	0.0	42.64107543947944	
2.0	10.418097035143091	limb	0.0		46	body	limb-41.jpg	0.0	43.25762117771433	0.38324658503074716
2.0	10.501474112400956	pulse	0.0	t		body	limb-41.jpg	0.0	43.34099825497219	
2.0	10.801343620173839	ISI	1.0		352	body	limb-41.jpg	0.0	43.640867762745074	3.0166485502925298
2.0	11.201462128728963	pulse	1.0	t		body	limb-41.jpg	0.0	44.0409862713002	
2.0	11.901451956191067	pulse	1.0	t		body	limb-41.jpg	0.0	44.7409760987623	
2.0	12.601434237260491	pulse	1.0	t		body	limb-41.jpg	0.0	45.44095837983173	
2.0	13.301455759573173	pulse	1.0	t		body	limb-41.jpg	0.0	46.14097990214441	
3.0	13.817992170466368	car	0.0		46	object	car-11.jpg	0.0	46.657516313037604	0.38331631370192554
3.0	14.00141359032932	pulse	0.0	t		object	car-11.jpg	0.0	46.84093773290056	
3.0	14.201308484168294	ISI	1.0		712	object	car-11.jpg	0.0	47.04083262673953	6.016615949874904
3.0	14.701396475110187	pulse	1.0	t		object	car-11.jpg	0.0	47.54092061768142	
3.0	15.401388113706616	pulse	1.0	t		object	car-11.jpg	0.0	48.24091225627785	
3.0	16.101376431890458	pulse	1.0	t		object	car-11.jpg	0.0	48.94090057446169	
3.0	16.801431158332207	pulse	1.0	t		object	car-11.jpg	0.0	49.64095530090344	
3.0	17.50141223197852	pulse	1.0	t		object	car-11.jpg	0.0	50.340936374549756	
3.0	18.20140296500813	pulse	1.0	t		object	car-11.jpg	0.0	51.040927107579364	
3.0	18.901392490614626	pulse	1.0	t		object	car-11.jpg	0.0	51.74091663318586	
3.0	19.60139167560419	pulse	1.0	t		object	car-11.jpg	0.0	52.44091581817543	
4.0	20.217924434043198	limb	0.0		46	body	limb-138.jpg	0.0	53.05744857661443	0.3832610741053486
4.0	20.301307850271087	pulse	0.0	t		body	limb-138.jpg	0.0	53.14083199284232	
4.0	20.601185508148546	ISI	1.0		353	body	limb-138.jpg	0.0	53.44070965071978	3.016649757715413
4.0	21.001293451753327	pulse	1.0	t		body	limb-138.jpg	0.0	53.84081759432456	
4.0	21.701279958802843	pulse	1.0	t		body	limb-138.jpg	0.0	54.54080410137408	
4.0	22.40126857884229	pulse	1.0	t		body	limb-138.jpg	0.0	55.24079272141353	
4.0	23.10125055805588	pulse	1.0	t		body	limb-138.jpg	0.0	55.94077470062712	
5.0	23.61783526586396	adult	0.0		46	face	adult-86.jpg	0.0	56.457359408435195	0.3832927689556982
5.0	23.80124340407542	pulse	0.0	t		face	adult-86.jpg	0.0	56.64076754664666	
5.0	24.001128034819658	ISI	1.0		231	face	adult-86.jpg	0.0	56.84065217739089	2.0166633412229658
5.0	24.501222968443244	pulse	1.0	t		face	adult-86.jpg	0.0	57.34074711101448	
5.0	25.2012426796216	pulse	1.0	t		face	adult-86.jpg	0.0	58.040766822192836	
5.0	25.901220734710932	pulse	1.0	t		face	adult-86.jpg	0.0	58.74074487728217	
6.0	26.017791376042624	limb	0.0		46	body	limb-15.jpg	0.0	58.85731551861386	0.3833166155575327
6.0	26.401107991600156	ISI	1.0		233	body	limb-15.jpg	0.0	59.24063213417139	2.0166745098842966
6.0	26.601244370013546	pulse	1.0	t		body	limb-15.jpg	0.0	59.44076851258478	
6.0	27.301257138510437	pulse	1.0	t		body	limb-15.jpg	0.0	60.14078128108167	
6.0	28.001232476898394	pulse	1.0	t		body	limb-15.jpg	0.0	60.84075661946963	
7.0	28.417782501484453	number	0.0		46	character	number-134.jpg	0.0	61.25730664405569	0.3833190304032996
7.0	28.70116706476415	pulse	0.0	t		character	number-134.jpg	0.0	61.540691207335385	
7.0	28.801101531887753	ISI	1.0		231	character	number-134.jpg	0.0	61.64062567445899	2.016605988636229
7.0	29.401283067916665	pulse	1.0	t		character	number-134.jpg	0.0	62.2408072104879	
7.0	30.10113313618149	pulse	1.0	t		character	number-134.jpg	0.0	62.940657278752724	
8.0	30.81770752052398	house	0.0		45	place	house-5.jpg	0.0	63.65723166309522	0.38329367452297447
8.0	30.80937449156181	pulse	0.0	t		place	house-5.jpg	0.0	63.64889863413305	
8.0	31.201001195046956	ISI	1.0		234	place	house-5.jpg	0.0	64.04052533761819	2.016668170914272
8.0	31.501107659558784	pulse	1.0	t		place	house-5.jpg	0.0	64.34063180213002	
8.0	32.201094770319514	pulse	1.0	t		place	house-5.jpg	0.0	65.04061891289075	
8.0	32.90108489963768	pulse	1.0	t		place	house-5.jpg	0.0	65.74060904220892	
9.0	33.21766936596123	limb	0.0		46	body	limb-80.jpg	0.0	66.05719350853246	0.3832954856570723
9.0	33.6009648516183	ISI	1.0		233	body	limb-80.jpg	0.0	66.44048899418954	2.01669322493899
9.0	33.654489605749404	pulse	1.0	t		body	limb-80.jpg	0.0	66.49401374832064	
9.0	34.301058819303535	pulse	1.0	t		body	limb-80.jpg	0.0	67.14058296187477	
9.0	35.001124412551235	pulse	1.0	t		body	limb-80.jpg	0.0	67.84064855512247	
10.0	35.61765807655729	adult	0.0		46	face	adult-93.jpg	0.0	68.45718221912853	0.38326047039390687
10.0	35.70103394639227	pulse	0.0	t		face	adult-93.jpg	0.0	68.54055808896351	
10.0	36.0009185469512	ISI	1.0		234	face	adult-93.jpg	0.0	68.84044268952243	2.0166370797753643
