75.5343 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
75.5343 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\car\\car-33.jpg'
75.9845 	DATA 	Keypress: t
76.6844 	DATA 	Keypress: t
77.3844 	DATA 	Keypress: t
78.0844 	DATA 	Keypress: t
78.7844 	DATA 	Keypress: t
79.4843 	DATA 	Keypress: t
80.1843 	DATA 	Keypress: t
80.9333 	DATA 	Keypress: t
80.9425 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
80.9425 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\limb\\limb-50.jpg'
81.5844 	DATA 	Keypress: t
82.2843 	DATA 	Keypress: t
82.9843 	DATA 	Keypress: t
83.6843 	DATA 	Keypress: t
84.3341 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
84.3341 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\number\\number-96.jpg'
84.3843 	DATA 	Keypress: t
85.0842 	DATA 	Keypress: t
85.7842 	DATA 	Keypress: t
86.4842 	DATA 	Keypress: t
87.1842 	DATA 	Keypress: t
87.7340 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
87.7340 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\car\\car-128.jpg'
87.8841 	DATA 	Keypress: t
88.5841 	DATA 	Keypress: t
89.2842 	DATA 	Keypress: t
89.9841 	DATA 	Keypress: t
90.6923 	DATA 	Keypress: t
91.1340 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
91.1340 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\car\\car-49.jpg'
91.3841 	DATA 	Keypress: t
92.0841 	DATA 	Keypress: t
92.7841 	DATA 	Keypress: t
93.4840 	DATA 	Keypress: t
94.1840 	DATA 	Keypress: t
94.5421 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
94.5421 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\house\\house-85.jpg'
94.8840 	DATA 	Keypress: t
95.5839 	DATA 	Keypress: t
96.2839 	DATA 	Keypress: t
96.9839 	DATA 	Keypress: t
97.6838 	DATA 	Keypress: t
97.9587 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
97.9587 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\adult\\adult-6.jpg'
98.3838 	DATA 	Keypress: t
99.0838 	DATA 	Keypress: t
99.7838 	DATA 	Keypress: t
100.3421 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
100.3421 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\car\\car-15.jpg'
100.4839 	DATA 	Keypress: t
101.1838 	DATA 	Keypress: t
101.8838 	DATA 	Keypress: t
102.5838 	DATA 	Keypress: t
103.2838 	DATA 	Keypress: t
103.9838 	DATA 	Keypress: t
104.6837 	DATA 	Keypress: t
105.3837 	DATA 	Keypress: t
105.7335 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
105.7335 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\adult\\adult-53.jpg'
106.0836 	DATA 	Keypress: t
106.7836 	DATA 	Keypress: t
107.4836 	DATA 	Keypress: t
108.1335 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
108.1335 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\adult\\adult-30.jpg'
108.1837 	DATA 	Keypress: t
108.8836 	DATA 	Keypress: t
109.5836 	DATA 	Keypress: t
110.2836 	DATA 	Keypress: t
110.9835 	DATA 	Keypress: t
111.5334 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
111.5334 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\house\\house-110.jpg'
111.6836 	DATA 	Keypress: t
112.3835 	DATA 	Keypress: t
113.0836 	DATA 	Keypress: t
113.7835 	DATA 	Keypress: t
114.4917 	DATA 	Keypress: t
114.9333 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
114.9333 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\limb\\limb-62.jpg'
115.1835 	DATA 	Keypress: t
115.8834 	DATA 	Keypress: t
116.5834 	DATA 	Keypress: t
117.3294 	DATA 	Keypress: t
117.3332 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
117.3332 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\house\\house-141.jpg'
117.9833 	DATA 	Keypress: t
118.6833 	DATA 	Keypress: t
119.3833 	DATA 	Keypress: t
119.7332 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
119.7332 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\limb\\limb-8.jpg'
120.0833 	DATA 	Keypress: t
120.7832 	DATA 	Keypress: t
121.4832 	DATA 	Keypress: t
122.1832 	DATA 	Keypress: t
122.8832 	DATA 	Keypress: t
123.1415 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
123.1415 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\adult\\adult-138.jpg'
123.5832 	DATA 	Keypress: t
124.2832 	DATA 	Keypress: t
124.9832 	DATA 	Keypress: t
125.6832 	DATA 	Keypress: t
126.3832 	DATA 	Keypress: t
127.0920 	DATA 	Keypress: t
