face_age	face_sex	face_eth	attractiveness	expression	face_id	sub_id	ses	run	trial_type	catch
22.0	male	black	2.767608436132113	neutral	044	sub-01	2	2	044_neutral	0
22.0	female	white	4.614007162753681	neutral	009	sub-01	2	2	009_neutral	0
19.0	male	white	2.243931555909272	neutral	130	sub-01	2	2	130_neutral	0
24.0	female	east_asian	4.409868682849185	neutral	030	sub-01	2	2	030_neutral	0
40.0	male	black	2.408674890569041	smiling	061	sub-01	2	2	061_smiling	0
47.0	male	east_asian	2.171110226820533	neutral	024	sub-01	2	2	024_neutral	0
26.0	female	white	4.854755272582571	neutral	027	sub-01	2	2	027_neutral	0
19.0	male	white	2.243931555909272	smiling	130	sub-01	2	2	130_smiling	0
23.0	male	white	2.6275368085953046	neutral	141	sub-01	2	2	141_neutral	0
31.0	male	west_asian	1.9538400318344609	neutral	070	sub-01	2	2	070_neutral	1
31.0	female	white	2.1822522881018704	neutral	102	sub-01	2	2	102_neutral	1
31.0	female	east_asian	3.395941106247513	smiling	087	sub-01	2	2	087_smiling	0
31.0	male	west_asian	1.9538400318344609	smiling	070	sub-01	2	2	070_smiling	0
21.0	male	black	2.969757262236371	neutral	137	sub-01	2	2	137_neutral	0
54.0	female	white	2.286908077994429	neutral	136	sub-01	2	2	136_neutral	0
47.0	male	east_asian	2.171110226820533	smiling	024	sub-01	2	2	024_smiling	0
27.0	male	black	3.5523278949462793	neutral	042	sub-01	2	2	042_neutral	0
21.0	male	black	2.969757262236371	smiling	137	sub-01	2	2	137_smiling	0
30.0	female	black	2.7345801830481498	smiling	062	sub-01	2	2	062_smiling	0
28.0	male	white	3.9076800636689217	smiling	033	sub-01	2	3	033_smiling	1
21.0	male	black	2.969757262236371	neutral	137	sub-01	2	3	137_neutral	0
21.0	male	east_asian/white	3.501790688420215	neutral	036	sub-01	2	3	036_neutral	0
31.0	female	east_asian	3.395941106247513	neutral	087	sub-01	2	3	087_neutral	0
34.0	male	white	2.651014723438122	neutral	121	sub-01	2	3	121_neutral	0
40.0	male	black	2.408674890569041	neutral	061	sub-01	2	3	061_neutral	0
30.0	female	black	2.7345801830481498	smiling	062	sub-01	2	3	062_smiling	0
24.0	female	east_asian	2.9076800636689217	smiling	034	sub-01	2	3	034_smiling	0
25.0	female	black	3.8583366494230003	neutral	126	sub-01	2	3	126_neutral	1
36.0	female	white	2.754874651810585	neutral	011	sub-01	2	3	011_neutral	0
19.0	male	white	2.243931555909272	smiling	130	sub-01	2	3	130_smiling	0
28.0	female	white	5.676880222841226	neutral	124	sub-01	2	3	124_neutral	0
27.0	female	white	3.504576203740549	smiling	144	sub-01	2	3	144_smiling	0
27.0	female	white	3.504576203740549	neutral	144	sub-01	2	3	144_neutral	0
24.0	male	white	3.115399920413848	smiling	012	sub-01	2	3	012_smiling	0
27.0	male	black	3.5523278949462793	neutral	042	sub-01	2	3	042_neutral	0
21.0	male	east_asian/white	3.501790688420215	smiling	036	sub-01	2	3	036_smiling	0
23.0	male	white	2.6275368085953046	smiling	141	sub-01	2	3	141_smiling	0
25.0	female	west_asian	2.6756864305610826	smiling	064	sub-01	2	3	064_smiling	0
40.0	female	west_asian	1.5777954635893354	neutral	038	sub-01	2	3	038_neutral	0
24.0	male	white	3.115399920413848	neutral	012	sub-01	2	3	012_neutral	0
40.0	male	white	1.868682849184242	neutral	172	sub-01	2	3	172_neutral	0
