duration	isi	onset	run	stim_name	trial_type	task_probe	sub_id
0.4	2.0	24.399999999999995	2	corridor-105.jpg	corridor	0.0	sub-01
0.4	2.0	26.799999999999994	2	word-87.jpg	word	0.0	sub-01
0.4	2.0	29.199999999999992	2	child-94.jpg	child	0.0	sub-01
0.4	2.0	31.59999999999999	2	child-94.jpg	child	1.0	sub-01
0.4	6.0	33.99999999999999	2	corridor-70.jpg	corridor	0.0	sub-01
0.4	5.0	40.39999999999999	2	word-10.jpg	word	0.0	sub-01
0.4	3.0	45.79999999999999	2	instrument-54.jpg	instrument	0.0	sub-01
0.4	3.0	49.19999999999999	2	body-37.jpg	body	0.0	sub-01
0.4	3.0	52.59999999999999	2	word-5.jpg	word	0.0	sub-01
0.4	3.0	55.999999999999986	2	instrument-69.jpg	instrument	0.0	sub-01
0.4	3.0	59.399999999999984	2	instrument-112.jpg	instrument	0.0	sub-01
0.4	2.0	62.79999999999998	2	corridor-49.jpg	corridor	0.0	sub-01
0.4	5.0	65.19999999999999	2	child-41.jpg	child	0.0	sub-01
0.4	2.0	70.6	2	instrument-135.jpg	instrument	0.0	sub-01
0.4	3.0	73.0	2	child-82.jpg	child	0.0	sub-01
0.4	3.0	76.4	2	child-36.jpg	child	0.0	sub-01
0.4	2.0	79.80000000000001	2	corridor-58.jpg	corridor	0.0	sub-01
0.4	2.0	82.20000000000002	2	body-131.jpg	body	0.0	sub-01
0.4	3.0	84.60000000000002	2	corridor-101.jpg	corridor	0.0	sub-01
0.4	4.0	88.00000000000003	2	body-90.jpg	body	0.0	sub-01
0.4	2.0	92.40000000000003	2	child-53.jpg	child	0.0	sub-01
0.4	2.0	94.80000000000004	2	body-135.jpg	body	0.0	sub-01
0.4	3.0	97.20000000000005	2	word-120.jpg	word	0.0	sub-01
0.4	2.0	100.60000000000005	2	word-17.jpg	word	0.0	sub-01
0.4	2.0	103.00000000000006	2	word-7.jpg	word	0.0	sub-01
0.4	7.0	105.40000000000006	2	instrument-56.jpg	instrument	0.0	sub-01
0.4	2.0	112.80000000000007	2	body-15.jpg	body	0.0	sub-01
0.4	4.0	115.20000000000007	2	body-92.jpg	body	0.0	sub-01
0.4	5.0	119.60000000000008	2	child-86.jpg	child	0.0	sub-01
0.4	8.0	125.00000000000009	2	word-69.jpg	word	0.0	sub-01
0.4	6.0	133.4000000000001	2	word-69.jpg	word	1.0	sub-01
0.4	2.0	139.8000000000001	2	corridor-17.jpg	corridor	0.0	sub-01
0.4	3.0	142.2000000000001	2	instrument-100.jpg	instrument	0.0	sub-01
0.4	2.0	145.6000000000001	2	child-8.jpg	child	0.0	sub-01
0.4	2.0	148.0000000000001	2	body-51.jpg	body	0.0	sub-01
0.4	2.0	150.40000000000012	2	body-123.jpg	body	0.0	sub-01
0.4	3.0	152.80000000000013	2	instrument-114.jpg	instrument	0.0	sub-01
0.4	2.0	156.20000000000013	2	child-103.jpg	child	0.0	sub-01
0.4	4.0	158.60000000000014	2	body-142.jpg	body	0.0	sub-01
0.4	2.0	163.00000000000014	2	instrument-24.jpg	instrument	0.0	sub-01
